Skill,hierarchy_level_1,count_in_uae,count_in_us
Diversity And Inclusion,5 - service and sales workers,4,1
Diversity Equity And Inclusion Initiatives,1 - managers,43,33
Diversity Equity And Inclusion Initiatives,2 - professionals,18,14
Diversity Equity And Inclusion Initiatives,3 - technicians and associate professionals,15,8
Diversity Equity And Inclusion Policies,3 - technicians and associate professionals,1,0
Diversity Management,1 - managers,13,7
Diversity Management,2 - professionals,7,11
Diversity Management,3 - technicians and associate professionals,2,9
Diversity Programs,1 - managers,15,18
Diversity Programs,2 - professionals,13,3
Diversity Programs,7 - craft and related trades workers,7,0
Diversity Strategies,1 - managers,23,3
Diversity Strategies,2 - professionals,1,4
Diversity Strategies,3 - technicians and associate professionals,3,0
Diversity Strategies,5 - service and sales workers,1,0
Diversity Training,1 - managers,1,4
Diversity Training,2 - professionals,2,1
Diverticulitis,2 - professionals,2,0
Divestitures,1 - managers,237,46
Divestitures,2 - professionals,261,113
Divestitures,3 - technicians and associate professionals,66,27
Divestitures,4 - clerical support workers,3,8
Divestitures,5 - service and sales workers,15,3
Divi WordPress Theme,1 - managers,2,0
Divi WordPress Theme,2 - professionals,9,6
Divi WordPress Theme,3 - technicians and associate professionals,7,0
Dividend Calculations,2 - professionals,3,2
Dividend Calculations,3 - technicians and associate professionals,1,0
Dividend Policy,1 - managers,5,0
Diving,1 - managers,15,3
Diving,2 - professionals,13,0
Diving,3 - technicians and associate professionals,35,8
Diving,4 - clerical support workers,1,0
Diving,5 - service and sales workers,2,3
Diving,7 - craft and related trades workers,5,0
Diving,8 - plant and machine operators and assemblers,4,0
Diving,9 - elementary occupations,4,0
Django (Web Framework),1 - managers,37,15
Django (Web Framework),2 - professionals,530,381
Django (Web Framework),3 - technicians and associate professionals,30,17
Django (Web Framework),4 - clerical support workers,7,4
Django (Web Framework),5 - service and sales workers,4,2
Django (Web Framework),7 - craft and related trades workers,9,2
Django (Web Framework),8 - plant and machine operators and assemblers,1,0
Django (Web Framework),9 - elementary occupations,1,1
DoDAF,2 - professionals,4,154
Doc2vec,2 - professionals,2,0
Dock-To-Stock,1 - managers,2,1
Dock-To-Stock,2 - professionals,1,12
Docker (Software),1 - managers,110,268
Docker (Software),2 - professionals,2619,6137
Docker (Software),3 - technicians and associate professionals,137,214
Docker (Software),4 - clerical support workers,26,37
Docker (Software),5 - service and sales workers,21,39
Docker (Software),"6 - skilled agricultural, forestry and fishery workers",3,1
Docker (Software),7 - craft and related trades workers,20,48
Docker (Software),8 - plant and machine operators and assemblers,14,7
Docker (Software),9 - elementary occupations,1,2
Docker Compose,1 - managers,2,2
Docker Compose,2 - professionals,27,69
Docker Compose,4 - clerical support workers,2,3
Docker Compose,5 - service and sales workers,3,0
Docker Container,1 - managers,1,2
Docker Container,2 - professionals,36,48
Docker Container,3 - technicians and associate professionals,5,3
Docker Container,7 - craft and related trades workers,6,0
Docker Engine,2 - professionals,1,4
Docker Swarm,1 - managers,1,2
Docker Swarm,2 - professionals,30,54
Dockerfile,2 - professionals,6,6
Docketing (Court),1 - managers,2,13
Docketing (Court),2 - professionals,7,52
Docketing (Court),3 - technicians and associate professionals,17,84
Docketing (Court),4 - clerical support workers,2,13
Docketing (Court),5 - service and sales workers,3,0
Docketing (Court),7 - craft and related trades workers,12,0
Docketing (Court),8 - plant and machine operators and assemblers,6,0
Docketing (Court),9 - elementary occupations,2,2
Docking (Computers),1 - managers,3,0
Docking (Computers),2 - professionals,11,9
Docking (Computers),3 - technicians and associate professionals,17,7
Docking (Computers),4 - clerical support workers,7,0
Docking (Computers),9 - elementary occupations,4,0
Doctrine Query Language (DQL),1 - managers,15,0
Doctrine Query Language (DQL),2 - professionals,3,3
Doctrine Query Language (DQL),3 - technicians and associate professionals,1,0
DocuSign (Software),1 - managers,9,69
DocuSign (Software),2 - professionals,18,90
DocuSign (Software),3 - technicians and associate professionals,16,56
DocuSign (Software),4 - clerical support workers,1,14
DocuSign (Software),7 - craft and related trades workers,1,1
Document And Media Exploitation,2 - professionals,2,44
Document Camera,3 - technicians and associate professionals,1,2
Document Capture Software,1 - managers,2,1
Document Classification,1 - managers,13,1
Document Classification,2 - professionals,5,11
Document Classification,3 - technicians and associate professionals,7,0
Document Comparison,2 - professionals,1,1
Document Comparison,3 - technicians and associate professionals,2,0
Document Control,1 - managers,2110,212
Document Control,2 - professionals,584,240
Document Control,3 - technicians and associate professionals,442,94
Document Control,4 - clerical support workers,160,16
Document Control,5 - service and sales workers,27,21
Document Control,"6 - skilled agricultural, forestry and fishery workers",1,0
Document Control,7 - craft and related trades workers,41,18
Document Control,8 - plant and machine operators and assemblers,8,2
Document Control,9 - elementary occupations,1,3
Document Conversion,4 - clerical support workers,1,0
Document Development Life Cycle (DDLC),2 - professionals,3,0
Document Engineering,2 - professionals,6,29
Document Formatting,1 - managers,45,7
Document Formatting,2 - professionals,28,37
Document Formatting,3 - technicians and associate professionals,136,59
Document Formatting,4 - clerical support workers,155,5
Document Formatting,5 - service and sales workers,1,2
Document Formatting,7 - craft and related trades workers,2,3
Document Imaging,1 - managers,4,12
Document Imaging,2 - professionals,21,16
Document Imaging,3 - technicians and associate professionals,13,28
Document Imaging,4 - clerical support workers,6,21
Document Imaging,5 - service and sales workers,2,3
Document Layout Analysis,1 - managers,2,0
Document Layout Analysis,2 - professionals,16,7
Document Management,1 - managers,1032,183
Document Management,2 - professionals,335,310
Document Management,3 - technicians and associate professionals,441,305
Document Management,4 - clerical support workers,256,113
Document Management,5 - service and sales workers,19,7
Document Management,"6 - skilled agricultural, forestry and fishery workers",1,0
Document Management,7 - craft and related trades workers,3,56
Document Management,8 - plant and machine operators and assemblers,4,2
Document Management Systems,1 - managers,889,83
Document Management Systems,2 - professionals,160,188
Document Management Systems,3 - technicians and associate professionals,128,123
Document Management Systems,4 - clerical support workers,111,13
Document Management Systems,5 - service and sales workers,11,1
Document Management Systems,7 - craft and related trades workers,5,12
Document Management Systems,8 - plant and machine operators and assemblers,1,19
Document Object Model,1 - managers,53,12
Document Object Model,2 - professionals,128,118
Document Object Model,3 - technicians and associate professionals,14,7
Document Object Model,"6 - skilled agricultural, forestry and fishery workers",2,0
Document Object Model,7 - craft and related trades workers,5,1
Document Object Model,8 - plant and machine operators and assemblers,2,4
Document Preparations,1 - managers,120,44
Document Preparations,2 - professionals,203,102
Document Preparations,3 - technicians and associate professionals,275,292
Document Preparations,4 - clerical support workers,164,47
Document Preparations,5 - service and sales workers,6,1
Document Preparations,7 - craft and related trades workers,8,2
Document Preparations,8 - plant and machine operators and assemblers,1,2
Document Processing,1 - managers,72,17
Document Processing,2 - professionals,46,47
Document Processing,3 - technicians and associate professionals,56,30
Document Processing,4 - clerical support workers,10,6
Document Processing,5 - service and sales workers,2,2
Document Processing,8 - plant and machine operators and assemblers,6,1
Document Processor,1 - managers,1,0
Document Processor,2 - professionals,1,2
Document Processor,4 - clerical support workers,1,0
Document Production,1 - managers,16,14
Document Production,2 - professionals,56,113
Document Production,3 - technicians and associate professionals,48,82
Document Production,4 - clerical support workers,6,6
Document Production,5 - service and sales workers,2,1
Document Production,7 - craft and related trades workers,11,27
Document Production,8 - plant and machine operators and assemblers,3,10
Document Retrieval,1 - managers,213,4
Document Retrieval,2 - professionals,25,7
Document Retrieval,3 - technicians and associate professionals,74,9
Document Retrieval,4 - clerical support workers,19,7
Document Retrieval,5 - service and sales workers,2,0
Document Retrieval,7 - craft and related trades workers,4,1
Document Review,1 - managers,84,28
Document Review,2 - professionals,235,83
Document Review,3 - technicians and associate professionals,68,91
Document Review,4 - clerical support workers,9,13
Document Review,5 - service and sales workers,4,1
Document Review,7 - craft and related trades workers,14,0
Document Review,8 - plant and machine operators and assemblers,1,0
Document Structure Description,1 - managers,1,1
Document Structure Description,2 - professionals,4,3
Document Type Definition,2 - professionals,8,7
Document-Oriented Databases,1 - managers,66,18
Document-Oriented Databases,2 - professionals,102,258
Document-Oriented Databases,3 - technicians and associate professionals,16,17
Document-Oriented Databases,4 - clerical support workers,9,4
Document-Oriented Databases,7 - craft and related trades workers,1,3
Documentary Films,1 - managers,7,1
Documentary Films,2 - professionals,55,26
Documentary Films,3 - technicians and associate professionals,17,2
Documentation Based Coding,1 - managers,7,0
Documentation Based Coding,2 - professionals,14,10
Documentation Based Coding,3 - technicians and associate professionals,2,1
Documentation Based Coding,4 - clerical support workers,1,0
Documentation Based Coding,8 - plant and machine operators and assemblers,1,0
Documentation Lifecycle,1 - managers,32,19
Documentation Lifecycle,2 - professionals,5,17
Documentation Lifecycle,3 - technicians and associate professionals,1,0
Documentation Lifecycle,5 - service and sales workers,1,0
Documentum,1 - managers,32,1
Documentum,2 - professionals,8,8
Documentum,5 - service and sales workers,1,0
Dodd-Frank Act,1 - managers,10,46
Dodd-Frank Act,2 - professionals,10,216
Dodd-Frank Act,3 - technicians and associate professionals,5,61
Dog Training,3 - technicians and associate professionals,2,2
Dog Training,5 - service and sales workers,3,3
Dojo Toolkit,1 - managers,2,7
Dojo Toolkit,2 - professionals,27,85
Dojo Toolkit,3 - technicians and associate professionals,2,15
Dolby Digital,1 - managers,1,0
Domain Controllers,1 - managers,20,6
Domain Controllers,2 - professionals,54,64
Domain Controllers,3 - technicians and associate professionals,22,7
Domain Controllers,7 - craft and related trades workers,1,1
Domain Driven Design,1 - managers,10,15
Domain Driven Design,2 - professionals,102,156
Domain Driven Design,3 - technicians and associate professionals,5,10
Domain Driven Design,4 - clerical support workers,1,2
Domain Driven Design,5 - service and sales workers,1,1
Domain Driven Design,8 - plant and machine operators and assemblers,1,0
Domain Model,1 - managers,1,0
Domain Model,2 - professionals,1,10
Domain Name Registrar,2 - professionals,1,0
Domain Name System,1 - managers,37,4
Domain Name System,2 - professionals,62,48
Domain Name System,3 - technicians and associate professionals,18,8
Domain Name System,7 - craft and related trades workers,1,0
Domain Name System (DNS) Servers,1 - managers,6,0
Domain Name System (DNS) Servers,2 - professionals,4,1
Domain Name System (DNS) Servers,3 - technicians and associate professionals,3,0
Domain Name System Security Extensions,1 - managers,3,1
Domain Name System Security Extensions,2 - professionals,18,12
Domain Name System Security Extensions,3 - technicians and associate professionals,1,6
Domain Name System Security Extensions,5 - service and sales workers,8,2
Domain Registration,1 - managers,12,0
Domain Registration,2 - professionals,11,2
Domain Registration,3 - technicians and associate professionals,8,3
Domain Registration,5 - service and sales workers,1,0
Domainkeys Identified Mail,2 - professionals,8,27
Domainkeys Identified Mail,3 - technicians and associate professionals,1,6
Domainkeys Identified Mail,4 - clerical support workers,1,7
Domestic Shipping,1 - managers,1,0
Domestic Shipping,3 - technicians and associate professionals,1,2
Domino XML Language,3 - technicians and associate professionals,2,0
Domo,1 - managers,7,19
Domo,2 - professionals,12,49
Domo,3 - technicians and associate professionals,2,10
Domo,5 - service and sales workers,1,1
Donor-Advised Funds,2 - professionals,1,23
Door Frames,2 - professionals,7,0
Door Frames,3 - technicians and associate professionals,17,7
Door Frames,5 - service and sales workers,4,0
Door Frames,7 - craft and related trades workers,172,10
Door Frames,8 - plant and machine operators and assemblers,4,0
Door Frames,9 - elementary occupations,10,4
Door Hinges,1 - managers,11,16
Door Hinges,2 - professionals,20,46
Door Hinges,3 - technicians and associate professionals,27,10
Door Hinges,4 - clerical support workers,1,2
Door Hinges,5 - service and sales workers,5,1
Door Hinges,7 - craft and related trades workers,46,3
Door Hinges,8 - plant and machine operators and assemblers,5,9
Door Hinges,9 - elementary occupations,9,0
Door Security,1 - managers,1,2
Door Security,4 - clerical support workers,1,0
Door Security,5 - service and sales workers,3,1
Door Security,9 - elementary occupations,1,0
Doppler Radar,2 - professionals,2,2
Doppler Radar,7 - craft and related trades workers,1,0
Doppler Ultrasonography,2 - professionals,48,23
Doppler Ultrasonography,3 - technicians and associate professionals,17,8
Doppler Ultrasonography,5 - service and sales workers,1,0
Doppler Ultrasonography,7 - craft and related trades workers,2,4
Doppler Ultrasonography,8 - plant and machine operators and assemblers,3,0
Dosage Calculation,2 - professionals,19,0
Dosage Calculation,3 - technicians and associate professionals,6,4
Dosage Form,1 - managers,1,1
Dosage Form,2 - professionals,25,8
Dosage Form,3 - technicians and associate professionals,2,10
Dosage Form,5 - service and sales workers,2,0
Dosimetry,2 - professionals,1,0
Dosimetry,3 - technicians and associate professionals,1,2
Dot Matrix Printers,3 - technicians and associate professionals,1,0
DotNetNuke,2 - professionals,15,30
Double Taxation,2 - professionals,12,0
Double Taxation,3 - technicians and associate professionals,5,0
Double Taxation,4 - clerical support workers,1,0
Double-Entry Bookkeeping Systems,2 - professionals,8,5
Double-Entry Bookkeeping Systems,3 - technicians and associate professionals,1,4
DoubleClick Digital Marketing,1 - managers,12,16
DoubleClick Digital Marketing,2 - professionals,10,8
DoubleClick Digital Marketing,3 - technicians and associate professionals,1,0
Douches,5 - service and sales workers,6,0
Douches,7 - craft and related trades workers,1,0
Dough Preparation,1 - managers,4,0
Dough Preparation,2 - professionals,1,0
Dough Preparation,3 - technicians and associate professionals,28,4
Dough Preparation,5 - service and sales workers,2,0
Dough Preparation,7 - craft and related trades workers,5,0
Dough Preparation,9 - elementary occupations,11,2
Downhole Drilling,1 - managers,7,0
Downhole Drilling,2 - professionals,10,0
Downhole Drilling,3 - technicians and associate professionals,4,1
Downstream Processing,1 - managers,16,4
Downstream Processing,2 - professionals,25,44
Downstream Processing,3 - technicians and associate professionals,7,9
Downstream Processing,8 - plant and machine operators and assemblers,3,2
Dozer,1 - managers,10,4
Dozer,2 - professionals,4,2
Dozer,3 - technicians and associate professionals,3,4
Dozer,7 - craft and related trades workers,12,7
Dozer,8 - plant and machine operators and assemblers,19,11
Drafting Documents,1 - managers,5,4
Drafting Documents,2 - professionals,16,8
Drafting Documents,3 - technicians and associate professionals,50,22
Drafting Documents,4 - clerical support workers,13,0
Drafting Machines,3 - technicians and associate professionals,3,0
Drag And Drop,1 - managers,4,2
Drag And Drop,2 - professionals,11,15
Drain Cleaning,1 - managers,2,0
Drain Cleaning,2 - professionals,1,8
Drain Cleaning,3 - technicians and associate professionals,5,18
Drain Cleaning,7 - craft and related trades workers,17,32
Drain Cleaning,9 - elementary occupations,2,0
Drainage Systems,1 - managers,17,11
Drainage Systems,2 - professionals,171,63
Drainage Systems,3 - technicians and associate professionals,45,36
Drainage Systems,4 - clerical support workers,1,0
Drainage Systems,5 - service and sales workers,1,1
Drainage Systems,"6 - skilled agricultural, forestry and fishery workers",1,1
Drainage Systems,7 - craft and related trades workers,299,18
Drainage Systems,8 - plant and machine operators and assemblers,2,0
Drainage Systems,9 - elementary occupations,10,0
Draw.io,1 - managers,1,2
Draw.io,2 - professionals,2,23
Draw.io,3 - technicians and associate professionals,6,0
Drawing,1 - managers,45,55
Drawing,2 - professionals,365,82
Drawing,3 - technicians and associate professionals,90,19
Drawing,4 - clerical support workers,1,0
Drawing,5 - service and sales workers,4,46
Drawing,7 - craft and related trades workers,39,6
Drawing,8 - plant and machine operators and assemblers,4,0
Drawing Interpretation,1 - managers,20,37
Drawing Interpretation,2 - professionals,184,78
Drawing Interpretation,3 - technicians and associate professionals,119,60
Drawing Interpretation,5 - service and sales workers,3,0
Drawing Interpretation,7 - craft and related trades workers,175,72
Drawing Interpretation,8 - plant and machine operators and assemblers,21,12
Drawing Interpretation,9 - elementary occupations,1,0
Drawloop (Software),2 - professionals,10,0
Dredging,1 - managers,1,0
Dredging,2 - professionals,33,1
Dredging,3 - technicians and associate professionals,1,1
Dredging,4 - clerical support workers,1,0
Dredging,7 - craft and related trades workers,1,0
Dredging,8 - plant and machine operators and assemblers,1,0
Dressing Changes,1 - managers,1,1
Dressing Changes,2 - professionals,36,73
Dressing Changes,3 - technicians and associate professionals,54,56
Dressing Changes,5 - service and sales workers,116,63
Drill Bits,2 - professionals,1,0
Drill Bits,7 - craft and related trades workers,1,0
Drill Cuttings,1 - managers,1,0
Drill Cuttings,2 - professionals,2,0
Drill Press,1 - managers,4,4
Drill Press,2 - professionals,17,88
Drill Press,3 - technicians and associate professionals,25,58
Drill Press,4 - clerical support workers,1,1
Drill Press,7 - craft and related trades workers,58,106
Drill Press,8 - plant and machine operators and assemblers,18,30
Drilldown,1 - managers,35,5
Drilldown,2 - professionals,26,28
Drilldown,3 - technicians and associate professionals,7,3
Drilldown,4 - clerical support workers,1,0
Drilldown,5 - service and sales workers,1,0
Drilling,1 - managers,68,77
Drilling,2 - professionals,496,177
Drilling,3 - technicians and associate professionals,151,83
Drilling,4 - clerical support workers,10,2
Drilling,5 - service and sales workers,7,3
Drilling,"6 - skilled agricultural, forestry and fishery workers",1,0
Drilling,7 - craft and related trades workers,531,302
Drilling,8 - plant and machine operators and assemblers,89,68
Drilling,9 - elementary occupations,32,27
Drilling Engineering,1 - managers,9,0
Drilling Engineering,2 - professionals,156,0
Drilling Engineering,3 - technicians and associate professionals,20,0
Drilling Engineering,7 - craft and related trades workers,7,0
Drilling Fluid,1 - managers,7,3
Drilling Fluid,2 - professionals,89,2
Drilling Fluid,3 - technicians and associate professionals,8,5
Drilling Fluid,5 - service and sales workers,1,0
Drilling Fluid,7 - craft and related trades workers,14,0
Drilling Fluid,8 - plant and machine operators and assemblers,7,2
Drilling Rig,1 - managers,11,3
Drilling Rig,2 - professionals,91,3
Drilling Rig,3 - technicians and associate professionals,45,3
Drilling Rig,4 - clerical support workers,2,0
Drilling Rig,"6 - skilled agricultural, forestry and fishery workers",4,0
Drilling Rig,7 - craft and related trades workers,26,0
Drilling Rig,8 - plant and machine operators and assemblers,22,2
Drilling Rig,9 - elementary occupations,1,0
Drillthrough,2 - professionals,3,1
Drip Irrigation,7 - craft and related trades workers,2,1
Drip Irrigation,9 - elementary occupations,2,0
Drip Marketing,1 - managers,1,0
Drip Marketing,3 - technicians and associate professionals,1,0
Drive Mechanisms,1 - managers,13,0
Drive Mechanisms,2 - professionals,2,5
Drive Shaft,1 - managers,2,0
Drive Testing,1 - managers,4,5
Drive Testing,2 - professionals,3,23
Drive Testing,7 - craft and related trades workers,2,15
Drivetrain,1 - managers,2,4
Drivetrain,2 - professionals,9,36
Drivetrain,3 - technicians and associate professionals,2,56
Drivetrain,5 - service and sales workers,4,1
Drivetrain,7 - craft and related trades workers,9,88
Drools,2 - professionals,15,27
Drop Shipping,1 - managers,2,0
DropBox Sign,3 - technicians and associate professionals,1,0
Dropped Ceilings,1 - managers,1,0
Dropped Ceilings,2 - professionals,24,0
Dropped Ceilings,3 - technicians and associate professionals,27,0
Dropped Ceilings,5 - service and sales workers,2,0
Dropped Ceilings,"6 - skilled agricultural, forestry and fishery workers",1,0
Dropped Ceilings,7 - craft and related trades workers,17,0
Dropped Ceilings,8 - plant and machine operators and assemblers,7,0
Dropped Ceilings,9 - elementary occupations,3,0
Drug Absorption,2 - professionals,1,2
Drug Administration,1 - managers,4,63
Drug Administration,2 - professionals,55,58
Drug Administration,3 - technicians and associate professionals,14,108
Drug Administration,4 - clerical support workers,1,9
Drug Administration,5 - service and sales workers,17,54
Drug Allergy,2 - professionals,8,1
Drug Development,1 - managers,12,137
Drug Development,2 - professionals,40,221
Drug Development,3 - technicians and associate professionals,18,63
Drug Development,5 - service and sales workers,5,8
Drug Discovery,1 - managers,3,40
Drug Discovery,2 - professionals,17,120
Drug Discovery,3 - technicians and associate professionals,8,10
Drug Education,9 - elementary occupations,1,0
Drug Formulary,1 - managers,1,2
Drug Formulary,2 - professionals,5,0
Drug Formulary,3 - technicians and associate professionals,4,0
Drug Interaction,1 - managers,6,4
Drug Interaction,2 - professionals,773,67
Drug Interaction,3 - technicians and associate professionals,5,26
Drug Interaction,4 - clerical support workers,1,0
Drug Regulatory Affairs,2 - professionals,2,0
Drug Resistance,2 - professionals,1,1
Drug Supply Chain Security Act,2 - professionals,1,9
Drug Trafficking Investigation,3 - technicians and associate professionals,2,0
Drug Utilization Review,1 - managers,1,0
Drug Utilization Review,2 - professionals,28,7
Drug Utilization Review,3 - technicians and associate professionals,2,40
Drug-Food Interaction,2 - professionals,3,1
Drupal,1 - managers,21,14
Drupal,2 - professionals,415,103
Drupal,3 - technicians and associate professionals,10,1
Drupal,4 - clerical support workers,1,0
Drupal,5 - service and sales workers,1,1
Drupal,7 - craft and related trades workers,1,0
Drush,2 - professionals,5,5
Drush,3 - technicians and associate professionals,2,0
Dry Cleaning,1 - managers,189,38
Dry Cleaning,2 - professionals,35,50
Dry Cleaning,3 - technicians and associate professionals,121,38
Dry Cleaning,4 - clerical support workers,131,51
Dry Cleaning,5 - service and sales workers,400,7
Dry Cleaning,"6 - skilled agricultural, forestry and fishery workers",1,0
Dry Cleaning,7 - craft and related trades workers,43,1
Dry Cleaning,8 - plant and machine operators and assemblers,149,1
Dry Cleaning,9 - elementary occupations,310,4
Dry Eye,2 - professionals,8,6
Dry Eye,4 - clerical support workers,1,0
Dry Eye,5 - service and sales workers,1,0
Dry Goods,1 - managers,2,1
Dry Goods,3 - technicians and associate professionals,6,0
Dry Goods,5 - service and sales workers,8,7
Dry Goods,9 - elementary occupations,1,1
Dry Needling,2 - professionals,41,85
Dry Needling,3 - technicians and associate professionals,2,2
Dry Van Truck Operation,1 - managers,2,0
Dry Van Truck Operation,2 - professionals,2,0
Dry Van Truck Operation,3 - technicians and associate professionals,1,9
Dry Van Truck Operation,4 - clerical support workers,1,0
Dry Van Truck Operation,8 - plant and machine operators and assemblers,2,12
Dryers,1 - managers,22,16
Dryers,2 - professionals,65,22
Dryers,3 - technicians and associate professionals,20,29
Dryers,5 - service and sales workers,33,1
Dryers,7 - craft and related trades workers,10,54
Dryers,8 - plant and machine operators and assemblers,10,1
Dryers,9 - elementary occupations,53,22
Drywall (Installation And Repair),1 - managers,40,90
Drywall (Installation And Repair),2 - professionals,49,183
Drywall (Installation And Repair),3 - technicians and associate professionals,195,145
Drywall (Installation And Repair),4 - clerical support workers,6,12
Drywall (Installation And Repair),5 - service and sales workers,12,40
Drywall (Installation And Repair),7 - craft and related trades workers,332,185
Drywall (Installation And Repair),8 - plant and machine operators and assemblers,19,9
Drywall (Installation And Repair),9 - elementary occupations,47,121
Dual Language,1 - managers,6,2
Dual Language,2 - professionals,11,1
Dual Language,3 - technicians and associate professionals,4,2
Dual Language,4 - clerical support workers,7,0
Dual Language,5 - service and sales workers,8,0
Dual Mode Mobile,2 - professionals,1,6
Dual-Energy X-Ray Absorptiometry,2 - professionals,7,49
Dual-Energy X-Ray Absorptiometry,3 - technicians and associate professionals,1,16
Dual-Tone Multi-Frequency Signaling,2 - professionals,2,2
Dual-Tone Multi-Frequency Signaling,3 - technicians and associate professionals,1,0
Dual-Tone Multi-Frequency Signaling,4 - clerical support workers,1,0
Dubbing (Filmmaking),1 - managers,1,9
Dubbing (Filmmaking),2 - professionals,1,3
Dubbing (Filmmaking),3 - technicians and associate professionals,6,1
Duck Creek Platform (Software),3 - technicians and associate professionals,1,0
Duct Cleaning,1 - managers,11,0
Duct Cleaning,2 - professionals,3,0
Duct Cleaning,3 - technicians and associate professionals,22,4
Duct Cleaning,4 - clerical support workers,1,0
Duct Cleaning,5 - service and sales workers,6,0
Duct Cleaning,7 - craft and related trades workers,18,3
Duct Cleaning,9 - elementary occupations,14,0
Ductility,1 - managers,5,4
Ductility,2 - professionals,25,34
Ductility,3 - technicians and associate professionals,7,13
Ductility,7 - craft and related trades workers,14,15
Ductwork,2 - professionals,4,6
Ductwork,7 - craft and related trades workers,4,2
Ductwork,9 - elementary occupations,2,0
Due Diligence,1 - managers,1635,503
Due Diligence,2 - professionals,3203,1146
Due Diligence,3 - technicians and associate professionals,1146,958
Due Diligence,4 - clerical support workers,217,55
Due Diligence,5 - service and sales workers,210,66
Due Diligence,"6 - skilled agricultural, forestry and fishery workers",3,0
Due Diligence,7 - craft and related trades workers,126,25
Due Diligence,8 - plant and machine operators and assemblers,31,6
Due Diligence,9 - elementary occupations,37,1
Due Process,2 - professionals,1,0
Durable Goods,7 - craft and related trades workers,3,0
Durable Medical Equipment,2 - professionals,10,112
Durable Medical Equipment,3 - technicians and associate professionals,1,95
Durable Medical Equipment,5 - service and sales workers,2,10
Duratrans,1 - managers,20,0
Duratrans,3 - technicians and associate professionals,1,0
Duratrans,4 - clerical support workers,1,0
Dust Collection Systems,1 - managers,1,2
Dust Collection Systems,2 - professionals,4,8
Dust Collection Systems,7 - craft and related trades workers,2,1
Dutch Language,1 - managers,2,14
Dutch Language,2 - professionals,15,18
Dutch Language,3 - technicians and associate professionals,10,6
Dutch Language,4 - clerical support workers,2,2
DxDesigner (Software),2 - professionals,1,10
Dye Penetrant Inspection,1 - managers,1,4
Dye Penetrant Inspection,2 - professionals,25,7
Dye Penetrant Inspection,3 - technicians and associate professionals,25,18
Dye Penetrant Inspection,7 - craft and related trades workers,35,16
Dye Penetrant Inspection,8 - plant and machine operators and assemblers,2,0
Dyes,7 - craft and related trades workers,1,0
Dyes,9 - elementary occupations,1,0
Dynamic Application Security Testing (DAST),1 - managers,5,8
Dynamic Application Security Testing (DAST),2 - professionals,65,154
Dynamic Application Security Testing (DAST),3 - technicians and associate professionals,11,11
Dynamic Application Security Testing (DAST),5 - service and sales workers,10,39
Dynamic Application Security Testing (DAST),7 - craft and related trades workers,1,1
Dynamic Authentication Filter,1 - managers,1,1
Dynamic Authentication Filter,2 - professionals,3,7
Dynamic Business Process Management,1 - managers,254,47
Dynamic Business Process Management,2 - professionals,344,122
Dynamic Business Process Management,3 - technicians and associate professionals,109,41
Dynamic Business Process Management,4 - clerical support workers,16,7
Dynamic Business Process Management,5 - service and sales workers,10,4
Dynamic Business Process Management,"6 - skilled agricultural, forestry and fishery workers",1,0
Dynamic Business Process Management,8 - plant and machine operators and assemblers,2,0
Dynamic Content,1 - managers,39,13
Dynamic Content,2 - professionals,90,55
Dynamic Content,3 - technicians and associate professionals,8,4
Dynamic Content,4 - clerical support workers,1,1
Dynamic DNS (Domain Name System),2 - professionals,1,2
Dynamic DNS (Domain Name System),3 - technicians and associate professionals,14,0
Dynamic Data,1 - managers,6,12
Dynamic Data,2 - professionals,39,84
Dynamic Data,3 - technicians and associate professionals,20,5
Dynamic Data,4 - clerical support workers,1,2
Dynamic Data,7 - craft and related trades workers,1,0
Dynamic Forms,2 - professionals,3,7
Dynamic HTML,2 - professionals,30,13
Dynamic HTML,3 - technicians and associate professionals,2,2
Dynamic Host Configuration Protocol (DHCP),1 - managers,65,31
Dynamic Host Configuration Protocol (DHCP),2 - professionals,507,895
Dynamic Host Configuration Protocol (DHCP),3 - technicians and associate professionals,230,173
Dynamic Host Configuration Protocol (DHCP),4 - clerical support workers,8,20
Dynamic Host Configuration Protocol (DHCP),5 - service and sales workers,13,18
Dynamic Host Configuration Protocol (DHCP),7 - craft and related trades workers,17,29
Dynamic Host Configuration Protocol (DHCP),8 - plant and machine operators and assemblers,2,0
Dynamic Imaging,2 - professionals,1,0
Dynamic Infrastructure,1 - managers,2,0
Dynamic Infrastructure,2 - professionals,13,7
Dynamic Ip,3 - technicians and associate professionals,1,1
Dynamic Ip,7 - craft and related trades workers,3,0
Dynamic Light Scattering,1 - managers,11,3
Dynamic Light Scattering,2 - professionals,10,25
Dynamic Light Scattering,3 - technicians and associate professionals,12,1
Dynamic Light Scattering,5 - service and sales workers,3,0
Dynamic Light Scattering,7 - craft and related trades workers,2,2
Dynamic Light Scattering,9 - elementary occupations,9,0
Dynamic List,2 - professionals,1,0
Dynamic Loading,2 - professionals,2,6
Dynamic Loading,3 - technicians and associate professionals,1,0
Dynamic Mechanical Analysis,2 - professionals,9,12
Dynamic Mechanical Analysis,8 - plant and machine operators and assemblers,1,0
Dynamic Multipoint Virtual Private Networks,2 - professionals,21,51
Dynamic Multipoint Virtual Private Networks,3 - technicians and associate professionals,4,0
Dynamic Multipoint Virtual Private Networks,7 - craft and related trades workers,2,0
Dynamic Positioning,1 - managers,1,0
