Job Title,Algeria Count,Standardized Percentage Algeria,Bahrain Count,Standardized Percentage Bahrain,Djibouti Count,Standardized Percentage Djibouti,Egypt Count,Standardized Percentage Egypt,Iraq Count,Standardized Percentage Iraq,Jordan Count,Standardized Percentage Jordan,Kuwait Count,Standardized Percentage Kuwait,Lebanon Count,Standardized Percentage Lebanon,Libya Count,Standardized Percentage Libya,Mauritania Count,Standardized Percentage Mauritania,Morocco Count,Standardized Percentage Morocco,Oman Count,Standardized Percentage Oman,Palestine Count,Standardized Percentage Palestine,Qatar Count,Standardized Percentage Qatar,Saudi Arabia Count,Standardized Percentage Saudi Arabia,Somalia Count,Standardized Percentage Somalia,Sudan Count,Standardized Percentage Sudan,Syria Count,Standardized Percentage Syria,Tunisia Count,Standardized Percentage Tunisia,United Arab Emirates Count,Standardized Percentage United Arab Emirates,Yemen Count,Standardized Percentage Yemen,US Count,Standardized Percentage US
ICT system administrator,143,0.35103223,388,0.38521872,,,1076,0.30403382,187,0.36317026,181,0.21206299,1518,0.31068867,442,0.28567735,9,0.11520737,,,224,0.26178316,,,7,0.0618047,1053,0.33614894,1062,0.19219702,52,0.21765518,36,0.24149728,12,0.19569472,377,0.41414463,2388,0.20621904,11,0.11005503,1578,0.45552957
hospitality establishment receptionist,140,0.34366792,478,0.47457358,,,472,0.13336799,46,0.089336,312,0.36554504,1967,0.40258539,374,0.24172699,8,0.10240655,,,245,0.28632534,,,4,0.03531697,887,0.2831568,927,0.16776519,46,0.19254112,,,7,0.11415525,93,0.102163,4885,0.42185093,6,0.06003002,145,0.04185791
audit supervisor,140,0.34366792,222,0.22040865,,,776,0.21926602,169,0.3282127,146,0.17105633,263,0.05382814,115,0.07432782,4,0.05120328,,,277,0.32372293,,,47,0.4149744,277,0.08842664,897,0.1623359,53,0.22184086,14,0.09391561,9,0.14677104,84,0.09227626,1477,0.12754838,6,0.06003002,200,0.05773505
ICT technician,140,0.34366792,304,0.30182085,,,1281,0.36195848,145,0.28160261,285,0.33391133,1905,0.38989586,769,0.49702689,10,0.12800819,8,0.72595281,273,0.31904823,,,39,0.34434046,716,0.22856851,1412,0.25553879,90,0.3767109,59,0.39578721,14,0.2283105,337,0.37020356,3184,0.27495872,42,0.42021011,556,0.16050345
user interface developer,134,0.32893929,257,0.25515776,,,3551,1.00336811,65,0.12623565,338,0.39600712,320,0.06549432,893,0.57717166,12,0.15360983,3,0.2722323,289,0.33774703,,,44,0.38848667,519,0.16568025,708,0.12813135,41,0.17161274,73,0.48970282,18,0.29354207,515,0.56574134,1835,0.15846396,22,0.22011006,1085,0.31321267
executive assistant,133,0.32648452,483,0.47953774,,,1993,0.5631407,95,0.18449826,393,0.46044615,1635,0.33463503,1473,0.9520424,10,0.12800819,1,0.0907441,344,0.40202414,,,13,0.11478015,1341,0.42808711,2505,0.45334607,72,0.30136872,55,0.36895418,64,1.04370515,410,0.45039602,7744,0.66874383,19,0.19009505,1036,0.29906758
food production operator,131,0.32157498,17,0.01687814,,,73,0.02062683,12,0.02330504,58,0.06795389,136,0.02783509,45,0.0290848,4,0.05120328,2,0.1814882,137,0.16010845,,,,,11,0.00351153,33,0.00597222,14,0.05859947,5,0.03354129,1,0.01630789,37,0.04064549,82,0.00708122,6,0.06003002,29,0.00837158
sales engineer,126,0.30930113,288,0.28593555,,,3048,0.86124077,139,0.26995009,180,0.21089137,1778,0.36390281,621,0.40137022,11,0.14080901,,,99,0.11569881,,,12,0.10595091,1128,0.36009117,2332,0.42203714,45,0.18835545,44,0.29516335,41,0.66862361,74,0.08129099,3304,0.28532149,3,0.03001501,682,0.19687653
talent agent,125,0.30684636,90,0.08935486,,,1413,0.3992563,44,0.08545183,180,0.21089137,123,0.02517438,264,0.17063082,1,0.01280082,3,0.2722323,212,0.24775907,,,2,0.01765848,290,0.09257663,1023,0.18513894,19,0.07952786,45,0.3018716,19,0.30984997,258,0.28341993,1547,0.13359332,8,0.08004002,257,0.07418954
industrial machinery mechanic,123,0.30193681,29,0.02879212,,,103,0.02910361,21,0.04078383,83,0.09724435,273,0.05587484,44,0.02843847,2,0.02560164,7,0.63520871,187,0.2185422,,,4,0.03531697,143,0.04564986,250,0.04524412,52,0.21765518,4,0.02683303,2,0.03261579,201,0.2208039,361,0.03117465,7,0.07003502,142,0.04099189
