skill,title,count,standardized count
Supply Chain Strategy,supply chain manager,9,0.0001417233560090703
Leadership,executive assistant,9,0.0001417233560090703
Adobe InDesign,interior designer,9,0.0001417233560090703
Scalability,software developer,9,0.0001417233560090703
Marketing,business developer,9,0.0001417233560090703
Financial Accounting,financial manager,9,0.0001417233560090703
Administrative Functions,office manager,9,0.0001417233560090703
Sales,eBusiness manager,9,0.0001417233560090703
Sales,digital marketing manager,9,0.0001417233560090703
Procurement,supply chain manager,9,0.0001417233560090703
Coaching,sales manager,9,0.0001417233560090703
Research,assistant lecturer,9,0.0001417233560090703
Warehouse Management Systems,warehouse manager,9,0.0001417233560090703
Purchasing,procurement department manager,9,0.0001417233560090703
Marketing,eBusiness manager,9,0.0001417233560090703
Social Media Marketing,digital marketing manager,9,0.0001417233560090703
Management,human resources officer,9,0.0001417233560090703
Production Engineering,production engineer,9,0.0001417233560090703
Internal Auditing,financial auditor,9,0.0001417233560090703
Invoicing,public finance accountant,9,0.0001417233560090703
Auditing,audit supervisor,9,0.0001417233560090703
Management,healthcare institution manager,9,0.0001417233560090703
Sales,property developer,9,0.0001417233560090703
Planning,logistics and distribution manager,9,0.0001417233560090703
Corporate Social Responsibility,police commissioner,9,0.0001417233560090703
QuickBooks (Accounting Software),accountant,9,0.0001417233560090703
Innovation,commercial sales representative,9,0.0001417233560090703
Project Management,ICT project manager,9,0.0001417233560090703
Project Implementation,project manager,9,0.0001417233560090703
Human Rights Laws,humanitarian advisor,9,0.0001417233560090703
Arabic Language,office manager,9,0.0001417233560090703
Supply Chain Management,supply chain manager,9,0.0001417233560090703
Sales,operations manager,9,0.0001417233560090703
Decision Making,warehouse manager,9,0.0001417233560090703
Diplomacy,humanitarian advisor,9,0.0001417233560090703
C# (Programming Language),software developer,9,0.0001417233560090703
Phone Sales,sales manager,9,0.0001417233560090703
English Language,customer service representative,9,0.0001417233560090703
Coordinating,operations manager,9,0.0001417233560090703
Professionalism,humanitarian advisor,9,0.0001417233560090703
Analytical Skills,digital marketing manager,9,0.0001417233560090703
Microsoft Office,sales manager,9,0.0001417233560090703
Market Liquidity,accountant,9,0.0001417233560090703
Business To Business,sales manager,9,0.0001417233560090703
Cash Register,cashier,9,0.0001417233560090703
Leadership,business manager,9,0.0001417233560090703
Performance Appraisal,human resources manager,9,0.0001417233560090703
Problem Solving,warehouse manager,9,0.0001417233560090703
Public Relations,marketing manager,9,0.0001417233560090703
Corporate Social Responsibility,housekeeping supervisor,9,0.0001417233560090703
Business Development,recruitment consultant,9,0.0001417233560090703
Communications,strategic planning manager,9,0.0001417233560090703
Budgeting,cost analyst,9,0.0001417233560090703
Lead Generation,marketing manager,9,0.0001417233560090703
Human Resource Management,human resources manager,9,0.0001417233560090703
Innovation,sales manager,9,0.0001417233560090703
Business Strategies,sales manager,9,0.0001417233560090703
Multitasking,executive assistant,9,0.0001417233560090703
Management,digital marketing manager,9,0.0001417233560090703
Bilingual (French/English),humanitarian advisor,9,0.0001417233560090703
Food Safety And Sanitation,police commissioner,9,0.0001417233560090703
Brand Management,brand manager,9,0.0001417233560090703
Sales,brand manager,9,0.0001417233560090703
External Auditing,accounting manager,9,0.0001417233560090703
Detail Oriented,housekeeping supervisor,9,0.0001417233560090703
Sales,financial manager,9,0.0001417233560090703
Front End (Software Engineering),software developer,9,0.0001417233560090703
SQL (Programming Language),software developer,9,0.0001417233560090703
Procurement,procurement support officer,9,0.0001417233560090703
English Language,business developer,9,0.0001417233560090703
Communications,chief marketing officer,9,0.0001417233560090703
Operations,manufacturing manager,9,0.0001417233560090703
Restaurant Operation,barista,9,0.0001417233560090703
Sexual Harassment Awareness,humanitarian advisor,9,0.0001417233560090703
Accounts Payable,public finance accountant,9,0.0001417233560090703
Project Management Professional Certification,project manager,9,0.0001417233560090703
Electrical Systems,maintenance and repair engineer,9,0.0001417233560090703
Ability To Meet Deadlines,graphic designer,9,0.0001417233560090703
Accounting,cost analyst,9,0.0001417233560090703
Communications,housekeeping supervisor,9,0.0001417233560090703
Marketing,marketing assistant,9,0.0001417233560090703
English Language,human resources assistant,9,0.0001417233560090703
Negotiation,commercial sales representative,9,0.0001417233560090703
Business Development,sales manager,9,0.0001417233560090703
Delegated Authority,humanitarian advisor,9,0.0001417233560090703
Annual Reports,accountant,9,0.0001417233560090703
Communications,graphic designer,9,0.0001417233560090703
Social Sciences,humanitarian advisor,9,0.0001417233560090703
Finance,public finance accountant,9,0.0001417233560090703
Public Administration,humanitarian advisor,9,0.0001417233560090703
Prioritization,executive assistant,9,0.0001417233560090703
Arabic Language,legal consultant,9,0.0001417233560090703
Finance,logistics and distribution manager,9,0.0001417233560090703
Communications,contract manager,9,0.0001417233560090703
Hazard Analysis And Critical Control Points (HACCP),chef,9,0.0001417233560090703
English Language,sales engineer,9,0.0001417233560090703
Presentations,marketing manager,9,0.0001417233560090703
New Product Development,product manager,9,0.0001417233560090703
Sales,technical sales representative,9,0.0001417233560090703
Mechanical Engineering,electromechanical engineer,9,0.0001417233560090703
Teaching,assistant lecturer,9,0.0001417233560090703
Interpersonal Communications,financial manager,9,0.0001417233560090703
Leadership,warehouse manager,9,0.0001417233560090703
English Language,sales account manager,9,0.0001417233560090703
Accountability,financial manager,8,0.00012597631645250694
HyperText Markup Language (HTML),software developer,8,0.00012597631645250694
Verbal Communication Skills,executive assistant,8,0.00012597631645250694
Variable Cost,cost analyst,8,0.00012597631645250694
Inventory Management,warehouse manager,8,0.00012597631645250694
Communications,product manager,8,0.00012597631645250694
Valid Driver's License,commercial sales representative,8,0.00012597631645250694
Sales,retail department manager,8,0.00012597631645250694
Sales,relationship banking manager,8,0.00012597631645250694
Environment Health And Safety,project manager,8,0.00012597631645250694
Typography,graphic designer,8,0.00012597631645250694
Accountability,monitoring and evaluation officer,8,0.00012597631645250694
Customer Service,logistics and distribution manager,8,0.00012597631645250694
Planning,operations manager,8,0.00012597631645250694
Communications,production engineer,8,0.00012597631645250694
Debugging,user interface developer,8,0.00012597631645250694
Marketing,public relations manager,8,0.00012597631645250694
Marketing,product manager,8,0.00012597631645250694
Training And Development,human resources officer,8,0.00012597631645250694
Management,warehouse manager,8,0.00012597631645250694
Management,recruitment consultant,8,0.00012597631645250694
Interpersonal Communications,accountant,8,0.00012597631645250694
Accounting,billing clerk,8,0.00012597631645250694
React.js (Javascript Library),user interface developer,8,0.00012597631645250694
Adobe Photoshop,interior designer,8,0.00012597631645250694
Corrective Maintenance,maintenance and repair engineer,8,0.00012597631645250694
Contract Management,quantity surveyor,8,0.00012597631645250694
Supply Chain Management,warehouse manager,8,0.00012597631645250694
Financial Accounting,accounting manager,8,0.00012597631645250694
Analytical Skills,accountant,8,0.00012597631645250694
Subcontracting,project manager,8,0.00012597631645250694
Customer Service,ICT business development manager,8,0.00012597631645250694
Strategic Planning,financial manager,8,0.00012597631645250694
Administrative Functions,administrative assistant,8,0.00012597631645250694
Standard Accounting Practices,accountant,8,0.00012597631645250694
JQuery,web developer,8,0.00012597631645250694
Coordinating,strategic planning manager,8,0.00012597631645250694
Persistence,humanitarian advisor,8,0.00012597631645250694
Research,executive assistant,8,0.00012597631645250694
Legal Support,legal consultant,8,0.00012597631645250694
Social Media Campaigns,digital marketing manager,8,0.00012597631645250694
Leadership,restaurant manager,8,0.00012597631645250694
Performance Management,human resources officer,8,0.00012597631645250694
Food Preparation,head chef,8,0.00012597631645250694
Research,humanitarian advisor,8,0.00012597631645250694
Income Statement,accountant,8,0.00012597631645250694
Invoicing,financial manager,8,0.00012597631645250694
Finance,executive assistant,8,0.00012597631645250694
Budgeting,operations manager,8,0.00012597631645250694
Communications,quality services manager,8,0.00012597631645250694
People Management,sales manager,8,0.00012597631645250694
People Management,sales account manager,8,0.00012597631645250694
Peacekeeping,humanitarian advisor,8,0.00012597631645250694
Restaurant Management,restaurant manager,8,0.00012597631645250694
Customer Service,client relations manager,8,0.00012597631645250694
Packaging And Labeling,graphic designer,8,0.00012597631645250694
