skill,title,count,standardized count
Bank Reconciliations,accounting assistant,21,0.00027809412824112084
Engagement Economics,audit supervisor,21,0.00027809412824112084
Front End (Software Engineering),user interface developer,21,0.00027809412824112084
Relationship Building,financial auditor,21,0.00027809412824112084
Value Creation,audit supervisor,21,0.00027809412824112084
Program Management,project manager,21,0.00027809412824112084
Management,logistics and distribution manager,21,0.00027809412824112084
Financial Management,accounting assistant,21,0.00027809412824112084
Arabic Language,logistics and distribution manager,21,0.00027809412824112084
Innovation,sales manager,21,0.00027809412824112084
Microsoft Excel,accounting assistant,21,0.00027809412824112084
Financial Statements,promoter,21,0.00027809412824112084
Proposal Writing,project manager,21,0.00027809412824112084
Communications,user interface developer,21,0.00027809412824112084
Financial Statements,accounting manager,21,0.00027809412824112084
Project Stakeholders,project manager,21,0.00027809412824112084
Training And Development,human resources officer,21,0.00027809412824112084
Accounting Records,audit supervisor,21,0.00027809412824112084
Procurement,logistics and distribution manager,21,0.00027809412824112084
Self-Motivation,project manager,21,0.00027809412824112084
Adobe Illustrator,graphic designer,20,0.0002648515507058294
Writing,project manager,20,0.0002648515507058294
Communications,grants management officer,20,0.0002648515507058294
HyperText Markup Language (HTML),user interface developer,20,0.0002648515507058294
Decision Making,project manager,20,0.0002648515507058294
Auditing,financial manager,20,0.0002648515507058294
Communications,public relations manager,20,0.0002648515507058294
English Language,audit supervisor,20,0.0002648515507058294
Innovation,financial auditor,20,0.0002648515507058294
English Language,education programme coordinator,20,0.0002648515507058294
Coordinating,financial controller,20,0.0002648515507058294
English Language,financial manager,20,0.0002648515507058294
Research,monitoring and evaluation officer,20,0.0002648515507058294
Finance,audit supervisor,20,0.0002648515507058294
Version Control,software developer,20,0.0002648515507058294
Arabic Language,community development officer,20,0.0002648515507058294
Invoicing,accounting assistant,20,0.0002648515507058294
Project Management,food technician,20,0.0002648515507058294
Prioritization,project manager,20,0.0002648515507058294
Management,public relations officer,20,0.0002648515507058294
English Language,user interface developer,20,0.0002648515507058294
Mechanical Engineering,mechanical engineer,20,0.0002648515507058294
Project Implementation,project support officer,20,0.0002648515507058294
Financial Management,financial manager,20,0.0002648515507058294
Advocacy,programme manager,19,0.0002516089731705379
Ability To Meet Deadlines,accounting assistant,19,0.0002516089731705379
Digital Marketing,digital marketing manager,19,0.0002516089731705379
English Language,fundraising assistant,19,0.0002516089731705379
Communications,football coach,19,0.0002516089731705379
Financial Management,financial controller,19,0.0002516089731705379
Coordinating,public relations officer,19,0.0002516089731705379
Association Of Chartered Certified Accountants,audit supervisor,19,0.0002516089731705379
Innovation,project manager,19,0.0002516089731705379
Arabic Language,logistics analyst,19,0.0002516089731705379
Performance Management,human resources officer,19,0.0002516089731705379
Financial Statements,project manager,19,0.0002516089731705379
Timelines,project manager,19,0.0002516089731705379
Coaching,financial auditor,19,0.0002516089731705379
Auditing Standards,audit supervisor,19,0.0002516089731705379
Data Analysis,audit supervisor,19,0.0002516089731705379
Physical Therapy,physiotherapist,19,0.0002516089731705379
Project Management,audit supervisor,19,0.0002516089731705379
Arabic Language,education programme coordinator,19,0.0002516089731705379
Microsoft Excel,promoter,19,0.0002516089731705379
Interpersonal Communications,accounting assistant,19,0.0002516089731705379
Customer Relationship Building,audit supervisor,19,0.0002516089731705379
Accounting,grants management officer,19,0.0002516089731705379
Interpersonal Communications,food technician,19,0.0002516089731705379
English Language,specialised doctor,19,0.0002516089731705379
Arabic Language,financial manager,19,0.0002516089731705379
Exploitation,project manager,19,0.0002516089731705379
Adobe Photoshop,graphic designer,19,0.0002516089731705379
Sales,sales assistant,19,0.0002516089731705379
Journalism,public relations officer,19,0.0002516089731705379
Presentations,audit supervisor,19,0.0002516089731705379
Management,education programme coordinator,19,0.0002516089731705379
Gender Studies,project manager,19,0.0002516089731705379
Node.js (Javascript Library),user interface developer,19,0.0002516089731705379
Object-Oriented Programming (OOP),software developer,19,0.0002516089731705379
Nursing,promoter,19,0.0002516089731705379
Communications,financial manager,19,0.0002516089731705379
Communications,specialised doctor,18,0.00023836639563524643
English Language,logistics analyst,18,0.00023836639563524643
RESTful API,user interface developer,18,0.00023836639563524643
Management,commercial sales representative,18,0.00023836639563524643
Curiosity,financial auditor,18,0.00023836639563524643
Computer Engineering,software developer,18,0.00023836639563524643
Teamwork,monitoring and evaluation officer,18,0.00023836639563524643
Planning,logistics and distribution manager,18,0.00023836639563524643
Management,operations manager,18,0.00023836639563524643
Microsoft Excel,food technician,18,0.00023836639563524643
Internal Reporting,project manager,18,0.00023836639563524643
Decision Making,monitoring and evaluation officer,18,0.00023836639563524643
Communications,logistics analyst,18,0.00023836639563524643
Community Development,project manager,18,0.00023836639563524643
Accounting Software,financial controller,18,0.00023836639563524643
Housekeeping,production engineer,18,0.00023836639563524643
Remuneration,audit supervisor,18,0.00023836639563524643
Assurance Services,insurance product manager,18,0.00023836639563524643
Filing,accounting assistant,18,0.00023836639563524643
Invoicing,promoter,18,0.00023836639563524643
Invoicing,financial controller,18,0.00023836639563524643
Microsoft Office,project support officer,18,0.00023836639563524643
Child Safeguarding,project manager,18,0.00023836639563524643
Communications,humanitarian advisor,18,0.00023836639563524643
.NET Framework,software developer,18,0.00023836639563524643
Selling Techniques,commercial sales representative,18,0.00023836639563524643
Application Programming Interface (API),mobile application developer,18,0.00023836639563524643
Front End Design,software developer,18,0.00023836639563524643
Marketing,public relations manager,18,0.00023836639563524643
Communications,fundraising assistant,18,0.00023836639563524643
Auditing,financial controller,18,0.00023836639563524643
Budgeting,financial manager,18,0.00023836639563524643
Accountability,production engineer,18,0.00023836639563524643
Auditing,accounting assistant,18,0.00023836639563524643
English Language,football coach,18,0.00023836639563524643
Filing,administrative assistant,18,0.00023836639563524643
Forecasting,financial controller,18,0.00023836639563524643
Forecasting,financial manager,18,0.00023836639563524643
Multitasking,accounting assistant,18,0.00023836639563524643
Business Strategies,audit supervisor,18,0.00023836639563524643
Coordinating,logistics and distribution manager,18,0.00023836639563524643
Management,financial manager,18,0.00023836639563524643
Program Management,project support officer,18,0.00023836639563524643
Financial Systems,accounting assistant,18,0.00023836639563524643
Communications,communication manager,18,0.00023836639563524643
Internal Controls,financial auditor,17,0.00022512381809995497
Detail Oriented,accounting assistant,17,0.00022512381809995497
Computer Literacy,accountant,17,0.00022512381809995497
Communications,financial auditor,17,0.00022512381809995497
Data Analysis,project manager,17,0.00022512381809995497
Operations,food technician,17,0.00022512381809995497
Business Administration,procurement support officer,17,0.00022512381809995497
Project Management,monitoring and evaluation officer,17,0.00022512381809995497
Planning,accounting assistant,17,0.00022512381809995497
Pharmaceuticals,promoter,17,0.00022512381809995497
Global Leadership,tax compliance officer,17,0.00022512381809995497
Consulting,audit supervisor,17,0.00022512381809995497
Accounting Systems,accountant,17,0.00022512381809995497
English Language,public relations manager,17,0.00022512381809995497
Communications,sales manager,17,0.00022512381809995497
Bookkeeping,accounting assistant,17,0.00022512381809995497
Good Manufacturing Practices,production engineer,17,0.00022512381809995497
Team Performance Management,sales manager,17,0.00022512381809995497
Software Development,software developer,17,0.00022512381809995497
Microsoft Excel,monitoring and evaluation officer,17,0.00022512381809995497
Arabic Language,humanitarian advisor,17,0.00022512381809995497
English Language,receptionist,17,0.00022512381809995497
Business Analysis,tax compliance officer,17,0.00022512381809995497
Information Technology,software developer,17,0.00022512381809995497
Filing,accountant,17,0.00022512381809995497
Professionalism,project manager,17,0.00022512381809995497
Tax Compliance,tax compliance officer,17,0.00022512381809995497
Month-End Closing,financial controller,17,0.00022512381809995497
Economics,monitoring and evaluation officer,17,0.00022512381809995497
Computer Literacy,project support officer,17,0.00022512381809995497
Consulting,financial auditor,17,0.00022512381809995497
Adobe InDesign,graphic designer,17,0.00022512381809995497
Organizational Skills,food technician,17,0.00022512381809995497
Influencing Skills,project manager,17,0.00022512381809995497
Auditing,accounting manager,17,0.00022512381809995497
Mobile Application Development,mobile application developer,17,0.00022512381809995497
Coordinating,humanitarian advisor,17,0.00022512381809995497
Psychology,project manager,17,0.00022512381809995497
Writing,software developer,17,0.00022512381809995497
Marketing,business developer,17,0.00022512381809995497
Capital Markets,audit supervisor,17,0.00022512381809995497
Ethical Standards And Conduct,tax compliance officer,17,0.00022512381809995497
Computer Science,application engineer,16,0.0002118812405646635
Computer Science,user interface developer,16,0.0002118812405646635
Written English,project manager,16,0.0002118812405646635
Time Management,promoter,16,0.0002118812405646635
Human Resource Management,human resources officer,16,0.0002118812405646635
Decision Making,programme manager,16,0.0002118812405646635
Web Applications,software developer,16,0.0002118812405646635
Android (Operating System),mobile application developer,16,0.0002118812405646635
Focus Group,project manager,16,0.0002118812405646635
External Auditing,insurance product manager,16,0.0002118812405646635
Time Management,project manager,16,0.0002118812405646635
Coordinating,human resources officer,16,0.0002118812405646635
Financial Policy,accountant,16,0.0002118812405646635
Marketing,marketing manager,16,0.0002118812405646635
Reconciliation,financial controller,16,0.0002118812405646635
Sales Prospecting,commercial sales representative,16,0.0002118812405646635
Detail Oriented,administrative assistant,16,0.0002118812405646635
Procurement,logistics analyst,16,0.0002118812405646635
Purchasing,accounting assistant,16,0.0002118812405646635
Project Cycle Management,project support officer,16,0.0002118812405646635
English Language,technical director,16,0.0002118812405646635
Coordinating,airport operations officer,16,0.0002118812405646635
Arabic Language,financial auditor,16,0.0002118812405646635
Financial Analysis,accountant,16,0.0002118812405646635
Coordinating,accounting assistant,16,0.0002118812405646635
Microsoft Excel,project manager,16,0.0002118812405646635
Economic Development,project manager,16,0.0002118812405646635
Interpersonal Communications,financial manager,16,0.0002118812405646635
Coordinating,food technician,16,0.0002118812405646635
Communications,airport operations officer,16,0.0002118812405646635
Management,procurement support officer,16,0.0002118812405646635
Management,humanitarian advisor,16,0.0002118812405646635
Surveys,project manager,16,0.0002118812405646635
Internal Auditing,financial auditor,16,0.0002118812405646635
Accounts Payable,accounting manager,16,0.0002118812405646635
English Language,customer service representative,16,0.0002118812405646635
Warehousing,promoter,16,0.0002118812405646635
Management,business developer,16,0.0002118812405646635
Administrative Support,administrative assistant,16,0.0002118812405646635
Social Media,audit supervisor,16,0.0002118812405646635
Finance,accounting manager,16,0.0002118812405646635
