Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
mine production manager,52.63157894736842,47.368421052631575,19
language engineer,52.38095238095239,47.61904761904761,42
rail traffic controller,52.0,48.0,25
onshore wind farm technician,51.94805194805194,48.05194805194805,77
substation engineer,51.78571428571429,48.214285714285715,224
flowers and plants distribution manager,51.724137931034484,48.275862068965516,29
plastic products assembler,51.35135135135135,48.64864864864865,37
swimming facility attendant,51.28205128205128,48.717948717948715,78
broadcasting programme director,51.28205128205128,48.717948717948715,39
foundry manager,51.162790697674424,48.837209302325576,43
energy manager,51.162790697674424,48.837209302325576,129
utilities inspector,51.13122171945701,48.86877828054298,221
container equipment design engineer,51.11111111111111,48.888888888888886,45
geographic information systems specialist,50.970873786407765,49.029126213592235,206
health and safety engineer,50.955109837631326,49.044890162368674,2094
compliance engineer,50.887573964497044,49.112426035502956,169
well-digger,50.877192982456144,49.122807017543856,57
electromechanical engineering technician,50.37593984962406,49.62406015037594,133
water conservation technician supervisor,50.0,50.0,4
rescue diver,50.0,50.0,10
V-belt coverer,50.0,50.0,2
floor and wall coverings shop manager,50.0,50.0,6
upholsterer,50.0,50.0,2
skipper,50.0,50.0,4
"hides, skins and leather products distribution manager",50.0,50.0,6
vending machine operator,50.0,50.0,2
specialist pharmacist,50.0,50.0,4
editorial assistant,50.0,50.0,16
system configurator,50.0,50.0,4
sport facility manager,50.0,50.0,22
pension scheme manager,50.0,50.0,4
airside safety manager,50.0,50.0,8
stamping press operator,50.0,50.0,2
sound operator,50.0,50.0,8
digital games developer,50.0,50.0,4
paper cutter operator,50.0,50.0,2
mouldmaker,50.0,50.0,4
textile sourcing merchandiser,50.0,50.0,2
quarry engineer,50.0,50.0,10
microsystem engineer,50.0,50.0,22
coroner,50.0,50.0,4
specialist chiropractor,50.0,50.0,4
photonics engineering technician,50.0,50.0,4
music arranger,50.0,50.0,2
import export specialist in flowers and plants,50.0,50.0,2
nature conservation officer,50.0,50.0,4
sports equipment repair technician,50.0,50.0,16
briquetting machine operator,50.0,50.0,6
glass annealer,50.0,50.0,2
theme park technician,50.0,50.0,14
terrazzo setter supervisor,50.0,50.0,2
tour organiser,50.0,50.0,2
tourism product manager,50.0,50.0,4
protective clothing apparel manufacturer,50.0,50.0,2
stone polisher,50.0,50.0,6
meteorology technician,50.0,50.0,4
cultural centre director,50.0,50.0,16
malt master,50.0,50.0,12
canning and bottling line operator,50.0,50.0,2
electrical household appliances distribution manager,50.0,50.0,10
private pilot,50.0,50.0,2
motor vehicle body assembler,50.0,50.0,38
semiconductor processor,50.0,50.0,2
attraction operator,50.0,50.0,2
ICT disaster recovery analyst,50.0,50.0,14
sewerage maintenance technician,50.0,50.0,2
letting agent,50.0,50.0,6
engineered wood board grader,50.0,50.0,2
import export manager in office machinery and equipment,50.0,50.0,2
3D printing technician,50.0,50.0,8
solderer,50.0,50.0,4
digital literacy teacher,50.0,50.0,2
brazier,50.0,50.0,2
technical sales representative in the textile machinery industry,50.0,50.0,2
communications lecturer,50.0,50.0,4
decorative painter,50.0,50.0,4
non-destructive testing specialist,50.0,50.0,36
agronomic crop production team leader,50.0,50.0,6
mail clerk,50.0,50.0,30
forestry machinery technician,50.0,50.0,4
laundromat attendant,50.0,50.0,10
wood drying kiln operator,50.0,50.0,4
hotel butler,50.0,50.0,14
fish production operator,50.0,50.0,4
horse trainer,50.0,50.0,10
riveter,50.0,50.0,2
family support worker,50.0,50.0,6
central bank governor,50.0,50.0,2
nuclear medicine radiographer,50.0,50.0,6
outdoor activities instructor,50.0,50.0,2
electric power generation engineer,49.521988527724666,50.47801147227533,523
geologist,49.404761904761905,50.595238095238095,168
architect,49.042145593869726,50.95785440613027,261
industrial machinery assembler,49.01960784313725,50.98039215686274,51
tufting operator,48.93617021276596,51.06382978723404,47
power distribution engineer,48.484848484848484,51.515151515151516,165
ship duty engineer,48.46153846153846,51.53846153846153,130
container equipment assembly supervisor,48.333333333333336,51.66666666666667,60
microelectronics materials engineer,48.275862068965516,51.724137931034484,29
steam engineer,48.214285714285715,51.78571428571429,56
