Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
chief technology officer,17.91044776119403,82.08955223880598,67
surveying technician,17.857142857142858,82.14285714285714,28
aerospace engineering technician,17.857142857142858,82.14285714285714,28
client relations manager,17.857142857142858,82.14285714285714,308
building construction worker,17.857142857142858,82.14285714285714,56
ICT vendor relationship manager,17.77777777777778,82.22222222222221,90
locksmith,17.72151898734177,82.27848101265823,79
human resources officer,17.67515923566879,82.32484076433121,628
refurbishing technician,17.647058823529413,82.35294117647058,17
road transport division manager,17.647058823529413,82.35294117647058,255
maritime instructor,17.647058823529413,82.35294117647058,34
aviation safety officer,17.647058823529413,82.35294117647058,34
financial analyst,17.554240631163708,82.44575936883629,507
respiratory therapy technician,17.532467532467532,82.46753246753246,154
aquaculture quality supervisor,17.5,82.5,40
educational researcher,17.5,82.5,40
electrical cable assembler,17.5,82.5,80
vehicle maintenance supervisor,17.234468937875754,82.76553106212425,499
chemist,17.17171717171717,82.82828282828282,198
transport health and safety inspector,17.142857142857142,82.85714285714286,35
avionics inspector,17.142857142857142,82.85714285714286,35
ICT help desk manager,17.105263157894736,82.89473684210526,76
passenger fare controller,17.037037037037038,82.96296296296296,135
web content manager,17.02127659574468,82.97872340425532,47
répétiteur,16.9811320754717,83.01886792452831,265
ICT technician,16.97530864197531,83.0246913580247,324
sales assistant,16.969696969696972,83.03030303030303,165
corporate training manager,16.783216783216783,83.21678321678321,286
warehouse manager,16.752577319587626,83.24742268041237,388
writer,16.666666666666664,83.33333333333334,72
immigration officer,16.666666666666664,83.33333333333334,18
pest management worker,16.666666666666664,83.33333333333334,6
photographer,16.666666666666664,83.33333333333334,12
wood technology engineer,16.666666666666664,83.33333333333334,72
pipeline route manager,16.666666666666664,83.33333333333334,30
investment manager,16.666666666666664,83.33333333333334,72
foundry moulder,16.666666666666664,83.33333333333334,6
biology lecturer,16.666666666666664,83.33333333333334,12
pet and food shop manager,16.666666666666664,83.33333333333334,12
audio production technician,16.666666666666664,83.33333333333334,6
rental service representative in water transport equipment,16.666666666666664,83.33333333333334,12
decontamination worker,16.666666666666664,83.33333333333334,6
publishing rights manager,16.666666666666664,83.33333333333334,6
race track operator,16.666666666666664,83.33333333333334,6
cosmetics and perfume shop manager,16.666666666666664,83.33333333333334,18
chief ICT security officer,16.666666666666664,83.33333333333334,90
import export specialist in beverages,16.666666666666664,83.33333333333334,6
ICT capacity planner,16.666666666666664,83.33333333333334,6
early years teacher,16.666666666666664,83.33333333333334,24
title closer,16.666666666666664,83.33333333333334,6
social entrepreneur,16.666666666666664,83.33333333333334,12
boilermaker,16.666666666666664,83.33333333333334,6
insurance rating analyst,16.666666666666664,83.33333333333334,6
chemistry teacher secondary school,16.666666666666664,83.33333333333334,6
medical laboratory assistant,16.666666666666664,83.33333333333334,6
tourism policy director,16.666666666666664,83.33333333333334,12
event assistant,16.666666666666664,83.33333333333334,6
telecommunications manager,16.55629139072848,83.44370860927152,151
investment analyst,16.43835616438356,83.56164383561644,219
logistics engineer,16.289592760180994,83.710407239819,221
garage manager,16.216216216216218,83.78378378378379,37
industrial machinery mechanic,16.176470588235293,83.82352941176471,340
petroleum engineer,16.139022711631107,83.86097728836889,2906
aircraft maintenance coordinator,16.11111111111111,83.88888888888889,180
vehicle technician,16.079632465543643,83.92036753445635,1959
ICT research manager,16.071428571428573,83.92857142857143,56
investor relations manager,16.071428571428573,83.92857142857143,56
market research analyst,16.044776119402986,83.95522388059702,268
computer vision engineer,16.0,84.0,25
public funding advisor,16.0,84.0,25
fire protection technician,15.92039800995025,84.07960199004975,201
land surveyor,15.837104072398189,84.16289592760181,221
user interface developer,15.833333333333332,84.16666666666667,120
horticulture production manager,15.789473684210526,84.21052631578947,19
packing machinery engineer,15.789473684210526,84.21052631578947,57
digital prototyper,15.789473684210526,84.21052631578947,19
sales engineer,15.780637940682709,84.21936205931729,1787
office manager,15.767634854771783,84.23236514522821,241
marine electronics technician,15.74074074074074,84.25925925925925,108
industrial designer,15.730337078651685,84.26966292134831,89
computer-aided design operator,15.730337078651685,84.26966292134831,89
calibration technician,15.714285714285714,84.28571428571429,70
materials handler,15.69767441860465,84.30232558139535,172
promotions demonstrator,15.625,84.375,32
shunter,15.555555555555555,84.44444444444444,45
receptionist,15.555555555555555,84.44444444444444,180
ship planner,15.555555555555555,84.44444444444444,45
cashier,15.555555555555555,84.44444444444444,45
logistics analyst,15.547024952015356,84.45297504798465,521
intelligence officer,15.492957746478872,84.50704225352112,71
mine safety officer,15.476190476190476,84.52380952380952,588
security alarm technician,15.384615384615385,84.61538461538461,117
ICT business analyst,15.384615384615385,84.61538461538461,117
smart home engineer,15.384615384615385,84.61538461538461,13
fiscal affairs policy officer,15.384615384615385,84.61538461538461,13
journalist,15.384615384615385,84.61538461538461,13
night auditor,15.384615384615385,84.61538461538461,26
lathe and turning machine operator,15.384615384615385,84.61538461538461,13
bricklaying supervisor,15.384615384615385,84.61538461538461,13
asphalt laboratory technician,15.384615384615385,84.61538461538461,52
computer hardware test technician,15.384615384615385,84.61538461538461,26
waiting list coordinator,15.384615384615385,84.61538461538461,26
contact centre supervisor,15.384615384615385,84.61538461538461,13
ICT intelligent systems designer,15.328467153284672,84.67153284671532,137
financial planner,15.294117647058824,84.70588235294117,85
ICT product manager,15.294117647058824,84.70588235294117,85
metal products assembler,15.254237288135593,84.7457627118644,177
musical instrument technician,15.217391304347828,84.78260869565217,92
political campaign officer,15.151515151515152,84.84848484848484,33
high rigger,15.09433962264151,84.90566037735849,53
online community manager,15.09433962264151,84.90566037735849,53
ICT account manager,15.09433962264151,84.90566037735849,106
election agent,15.0,85.0,20
engine designer,15.0,85.0,40
database developer,15.0,85.0,60
forecast manager,15.0,85.0,60
property developer,15.0,85.0,40
youth programme director,15.0,85.0,140
welding coordinator,14.85148514851485,85.14851485148515,202
chief marketing officer,14.835164835164836,85.16483516483517,182
architectural drafter,14.814814814814813,85.18518518518519,189
industrial firefighter,14.814814814814813,85.18518518518519,54
software analyst,14.775725593667547,85.22427440633246,379
ICT business development manager,14.763779527559054,85.23622047244095,508
marine electrician,14.736842105263156,85.26315789473684,95
customs officer,14.705882352941178,85.29411764705883,34
vessel operations coordinator,14.586994727592268,85.41300527240774,569
barista,14.583333333333334,85.41666666666666,48
machinery assembly supervisor,14.583333333333334,85.41666666666666,48
learning support teacher,14.545454545454545,85.45454545454545,55
legal assistant,14.492753623188406,85.5072463768116,69
pipe welder,14.403973509933774,85.59602649006622,604
predictive maintenance expert,14.376996805111823,85.62300319488818,313
mine control room operator,14.285714285714285,85.71428571428571,14
space science lecturer,14.285714285714285,85.71428571428571,14
robotics engineering technician,14.285714285714285,85.71428571428571,14
deputy head teacher,14.285714285714285,85.71428571428571,14
asphalt plant operator,14.285714285714285,85.71428571428571,14
biomedical engineer,14.285714285714285,85.71428571428571,49
heat sealing machine operator,14.285714285714285,85.71428571428571,14
parliamentary assistant,14.285714285714285,85.71428571428571,14
pharmacist,14.285714285714285,85.71428571428571,7
social work assistant,14.285714285714285,85.71428571428571,14
clock and watchmaker,14.285714285714285,85.71428571428571,42
mining assistant,14.285714285714285,85.71428571428571,21
acoustical engineer,14.285714285714285,85.71428571428571,56
leather goods industrial engineer,14.285714285714285,85.71428571428571,7
import export specialist in chemical products,14.285714285714285,85.71428571428571,7
equine yard manager,14.285714285714285,85.71428571428571,49
psychotherapist,14.285714285714285,85.71428571428571,7
"wholesale merchant in mining, construction and civil engineering machinery",14.285714285714285,85.71428571428571,7
tile fitter,14.285714285714285,85.71428571428571,7
kinesiologist,14.285714285714285,85.71428571428571,7
telecommunications engineering technician,14.285714285714285,85.71428571428571,21
university department head,14.285714285714285,85.71428571428571,14
punch press operator,14.285714285714285,85.71428571428571,35
game keeper,14.285714285714285,85.71428571428571,7
insurance broker,14.285714285714285,85.71428571428571,7
mechatronics assembler,14.285714285714285,85.71428571428571,7
personal trainer,14.14141414141414,85.85858585858585,99
metalworking lathe operator,14.035087719298245,85.96491228070175,57
chemical manufacturing quality technician,14.012738853503185,85.98726114649682,157
insulation supervisor,13.978494623655912,86.02150537634408,93
financial auditor,13.934426229508196,86.0655737704918,610
advertising assistant,13.88888888888889,86.11111111111111,36
network marketer,13.88888888888889,86.11111111111111,36
head chef,13.829787234042554,86.17021276595744,94
accountant,13.657407407407407,86.3425925925926,864
university teaching assistant,13.636363636363635,86.36363636363636,22
fuel station specialised seller,13.592233009708737,86.40776699029125,103
industrial electrician,13.538461538461538,86.46153846153845,325
paramedic in emergency responses,13.513513513513514,86.48648648648648,37
construction painting supervisor,13.513513513513514,86.48648648648648,148
ICT information and knowledge manager,13.513513513513514,86.48648648648648,37
general practitioner,13.333333333333334,86.66666666666667,15
fitness instructor,13.333333333333334,86.66666666666667,15
restoration technician,13.333333333333334,86.66666666666667,15
telecommunications analyst,13.333333333333334,86.66666666666667,30
producer,13.333333333333334,86.66666666666667,15
licensing officer,13.333333333333334,86.66666666666667,105
electronic equipment assembler,13.333333333333334,86.66666666666667,30
cable jointer,13.333333333333334,86.66666666666667,90
commercial sales representative,13.3276740237691,86.67232597623091,1178
mergers and acquisitions analyst,13.28125,86.71875,128
software manager,13.253012048192772,86.74698795180723,83
performance production manager,13.245033112582782,86.75496688741721,151
financial risk manager,13.20754716981132,86.79245283018868,53
gas processing plant operator,13.20754716981132,86.79245283018868,53
real estate manager,13.095238095238097,86.90476190476191,84
ICT system integration consultant,13.084112149532709,86.91588785046729,107
food technician,13.043478260869565,86.95652173913044,23
education inspector,13.043478260869565,86.95652173913044,23
"hardware, plumbing and heating equipment supplies distribution manager",13.043478260869565,86.95652173913044,46
business intelligence manager,13.024282560706402,86.9757174392936,453
flight operations officer,12.987012987012985,87.01298701298701,77
brokerage firm director,12.903225806451612,87.09677419354838,31
community development officer,12.903225806451612,87.09677419354838,31
civil enforcement officer,12.903225806451612,87.09677419354838,124
ICT system developer,12.903225806451612,87.09677419354838,31
digital marketing manager,12.867647058823529,87.13235294117648,272
welding engineer,12.786885245901638,87.21311475409837,305
business valuer,12.76595744680851,87.2340425531915,94
purchase planner,12.751677852348994,87.24832214765101,149
marketing consultant,12.666666666666668,87.33333333333333,300
ICT presales engineer,12.658227848101266,87.34177215189874,237
financial manager,12.645590682196339,87.35440931780366,601
inventory coordinator,12.544802867383511,87.45519713261649,279
business analyst,12.540192926045016,87.45980707395499,622
fundraising manager,12.5,87.5,8
clinical psychologist,12.5,87.5,8
audio describer,12.5,87.5,8
rolling stock engineering drafter,12.5,87.5,24
mining equipment mechanic,12.5,87.5,24
bakery specialised seller,12.5,87.5,8
waste and scrap distribution manager,12.5,87.5,8
higher education lecturer,12.5,87.5,56
dietetic technician,12.5,87.5,8
pharmaceutical goods distribution manager,12.5,87.5,8
live chat operator,12.5,87.5,16
medicine lecturer,12.5,87.5,16
insurance underwriter,12.5,87.5,8
au pair,12.5,87.5,24
move coordinator,12.5,87.5,104
locker room attendant,12.5,87.5,8
ICT business analysis manager,12.5,87.5,72
motor vehicle engine assembler,12.5,87.5,8
youth information worker,12.5,87.5,8
aircraft dispatcher,12.5,87.5,48
machinery assembly coordinator,12.5,87.5,56
investment clerk,12.5,87.5,8
movie distributor,12.5,87.5,8
checkout supervisor,12.5,87.5,16
bookkeeper,12.5,87.5,8
secondary school head teacher,12.5,87.5,8
ticket sales agent,12.5,87.5,8
blockchain architect,12.5,87.5,8
medium,12.5,87.5,8
block machine operator,12.5,87.5,8
chemical products distribution manager,12.5,87.5,48
motor vehicles specialised seller,12.359550561797752,87.64044943820225,89
sales manager,12.355707567336468,87.64429243266353,2339
sales support assistant,12.307692307692308,87.6923076923077,130
physics lecturer,12.280701754385964,87.71929824561403,57
precision device inspector,12.195121951219512,87.8048780487805,82
healthcare consultant,12.173913043478262,87.82608695652175,115
product manager,12.171052631578947,87.82894736842105,304
forestry equipment operator,12.121212121212121,87.87878787878788,33
oil and gas production manager,12.046511627906977,87.95348837209302,2150
milling machine operator,12.041884816753926,87.95811518324608,191
ICT security technician,12.037037037037036,87.96296296296296,108
property assistant,12.0,88.0,25
computer science lecturer,11.965811965811966,88.03418803418803,117
brand manager,11.956521739130435,88.04347826086956,276
primary school teacher,11.904761904761903,88.09523809523809,42
chief information officer,11.864406779661017,88.13559322033898,59
secretary,11.842105263157894,88.1578947368421,152
electronic equipment inspector,11.822660098522167,88.17733990147784,203
recruitment consultant,11.818181818181818,88.18181818181819,880
assistive technologist,11.76470588235294,88.23529411764706,17
building cleaner,11.76470588235294,88.23529411764706,17
advertising specialist,11.76470588235294,88.23529411764706,34
securities trader,11.76470588235294,88.23529411764706,17
financial trader,11.711711711711711,88.28828828828829,111
specialist nurse,11.702127659574469,88.29787234042553,94
accounting manager,11.545988258317024,88.45401174168298,511
mine electrical engineer,11.538461538461538,88.46153846153845,26
marketing manager,11.50326797385621,88.49673202614379,765
road transport maintenance scheduler,11.320754716981133,88.67924528301887,106
translator,11.29032258064516,88.70967741935483,62
business consultant,11.267605633802818,88.73239436619718,355
gambling manager,11.11111111111111,88.88888888888889,9
special educational needs assistant,11.11111111111111,88.88888888888889,9
financial markets back office administrator,11.11111111111111,88.88888888888889,18
music teacher,11.11111111111111,88.88888888888889,9
kiln firer,11.11111111111111,88.88888888888889,9
domestic housekeeper,11.11111111111111,88.88888888888889,18
performance rental technician,11.11111111111111,88.88888888888889,63
"computer games, multimedia and software specialised seller",11.11111111111111,88.88888888888889,9
motor vehicle parts assembler,11.11111111111111,88.88888888888889,18
gear machinist,11.11111111111111,88.88888888888889,162
ethical hacker,11.11111111111111,88.88888888888889,9
tiling supervisor,11.11111111111111,88.88888888888889,9
compression moulding machine operator,11.11111111111111,88.88888888888889,9
police officer,11.11111111111111,88.88888888888889,18
agricultural machinery and equipment distribution manager,11.11111111111111,88.88888888888889,9
construction quality inspector,11.077844311377245,88.92215568862275,334
security consultant,11.03896103896104,88.96103896103897,154
customer experience manager,10.95890410958904,89.04109589041096,146
advertising copywriter,10.92436974789916,89.07563025210085,119
waterway construction labourer,10.909090909090908,89.0909090909091,55
digital media designer,10.869565217391305,89.13043478260869,46
bioinformatics scientist,10.81081081081081,89.1891891891892,37
dip tank operator,10.81081081081081,89.1891891891892,74
data scientist,10.780017528483786,89.21998247151622,1141
call centre agent,10.76923076923077,89.23076923076924,65
call centre quality auditor,10.76923076923077,89.23076923076924,65
technical sales representative in chemical products,10.759493670886076,89.24050632911393,158
welding inspector,10.74766355140187,89.25233644859813,428
rental service representative in air transport equipment,10.714285714285714,89.28571428571429,28
mobile crane operator,10.666666666666668,89.33333333333333,75
relocation officer,10.619469026548673,89.38053097345133,113
structural ironwork supervisor,10.606060606060606,89.39393939393939,66
technical sales representative in mining and construction machinery,10.576923076923077,89.42307692307693,208
supply chain assistant,10.572687224669604,89.42731277533039,227
ICT network architect,10.526315789473683,89.47368421052632,19
ICT research consultant,10.526315789473683,89.47368421052632,38
train preparer,10.526315789473683,89.47368421052632,19
interior architect,10.526315789473683,89.47368421052632,19
web developer,10.526315789473683,89.47368421052632,76
gas processing plant supervisor,10.526315789473683,89.47368421052632,133
industrial cook,10.526315789473683,89.47368421052632,19
procurement support officer,10.350877192982457,89.64912280701755,570
product quality inspector,10.344827586206897,89.65517241379311,580
specialised seller,10.344827586206897,89.65517241379311,116
ICT network technician,10.256410256410255,89.74358974358975,39
executive assistant,10.15625,89.84375,384
graphic designer,10.069444444444445,89.93055555555556,288
furniture finisher,10.0,90.0,10
surgical instrument maker,10.0,90.0,10
credit analyst,10.0,90.0,30
"import export specialist in mining, construction, civil engineering machinery",10.0,90.0,60
metal additive manufacturing operator,10.0,90.0,10
beverages specialised seller,10.0,90.0,10
sports official,10.0,90.0,10
customer contact centre information clerk,10.0,90.0,10
biochemistry technician,10.0,90.0,10
forklift operator,10.0,90.0,190
moulding machine technician,10.0,90.0,10
import export specialist in textile industry machinery,10.0,90.0,10
animal shelter worker,10.0,90.0,10
irrigation system installer,10.0,90.0,10
ordinary seaman,10.0,90.0,10
auditing clerk,10.0,90.0,10
set designer,10.0,90.0,10
flight instructor,10.0,90.0,20
special educational needs coordinator,10.0,90.0,10
dating service consultant,10.0,90.0,20
ICT buyer,10.0,90.0,20
human resources assistant,9.917355371900827,90.08264462809917,121
international relations officer,9.900990099009901,90.0990099009901,101
art director,9.900990099009901,90.0990099009901,101
ICT security manager,9.803921568627452,90.19607843137256,51
tax advisor,9.63855421686747,90.36144578313254,166
data warehouse designer,9.6,90.4,125
public relations officer,9.554140127388536,90.44585987261146,157
landscape gardener,9.523809523809524,90.47619047619048,21
carpenter supervisor,9.523809523809524,90.47619047619048,126
rolling stock inspector,9.523809523809524,90.47619047619048,21
banking products manager,9.523809523809524,90.47619047619048,42
learning mentor,9.523809523809524,90.47619047619048,42
clarifier,9.523809523809524,90.47619047619048,21
accounting assistant,9.486166007905137,90.51383399209486,253
tax compliance officer,9.375,90.625,64
metals and metal ores distribution manager,9.375,90.625,32
handyman,9.375,90.625,32
ICT security administrator,9.375,90.625,32
technical sales representative in office machinery and equipment,9.375,90.625,32
financial fraud examiner,9.25925925925926,90.74074074074075,54
tourist information centre manager,9.090909090909092,90.9090909090909,11
employment agent,9.090909090909092,90.9090909090909,11
distribution centre dispatcher,9.090909090909092,90.9090909090909,33
photonics engineer,9.090909090909092,90.9090909090909,11
grill cook,9.090909090909092,90.9090909090909,11
grants administrator,9.090909090909092,90.9090909090909,11
branch manager,9.090909090909092,90.9090909090909,55
blogger,9.090909090909092,90.9090909090909,11
plasma cutting machine operator,9.090909090909092,90.9090909090909,22
nursing lecturer,9.090909090909092,90.9090909090909,11
video and motion picture editor,9.090909090909092,90.9090909090909,11
mattress making machine operator,9.090909090909092,90.9090909090909,11
soap tower operator,9.090909090909092,90.9090909090909,11
ICT security engineer,8.91089108910891,91.0891089108911,303
rigger,8.823529411764707,91.17647058823529,170
data quality specialist,8.771929824561402,91.22807017543859,114
motor vehicle shop manager,8.75912408759124,91.24087591240875,274
legal administrative assistant,8.695652173913043,91.30434782608695,23
aircraft maintenance engineer,8.60655737704918,91.39344262295081,244
software developer,8.60215053763441,91.39784946236558,651
automotive designer,8.60215053763441,91.39784946236558,93
pipeline maintenance worker,8.571428571428571,91.42857142857143,70
securities analyst,8.571428571428571,91.42857142857143,35
instrument technician,8.567415730337078,91.43258426966293,712
motor vehicle assembly inspector,8.47457627118644,91.52542372881356,59
vehicle cleaner,8.433734939759036,91.56626506024097,83
database administrator,8.411214953271028,91.58878504672897,107
gravure press operator,8.333333333333332,91.66666666666666,12
jewellery and watches shop manager,8.333333333333332,91.66666666666666,12
insulation worker,8.333333333333332,91.66666666666666,24
digester operator,8.333333333333332,91.66666666666666,12
nurse responsible for general care,8.333333333333332,91.66666666666666,12
shop assistant,8.333333333333332,91.66666666666666,24
social security administrator,8.333333333333332,91.66666666666666,12
patent engineer,8.333333333333332,91.66666666666666,12
mathematician,8.333333333333332,91.66666666666666,12
education welfare officer,8.333333333333332,91.66666666666666,12
air traffic manager,8.333333333333332,91.66666666666666,12
advanced nurse practitioner,8.333333333333332,91.66666666666666,12
campaign canvasser,8.108108108108109,91.8918918918919,37
office clerk,8.0,92.0,25
aeronautical information specialist,8.0,92.0,25
dairy products and edible oils distribution manager,8.0,92.0,25
purchasing manager,7.9787234042553195,92.02127659574468,188
department store manager,7.954545454545454,92.04545454545455,88
firefighter,7.936507936507936,92.06349206349206,63
promoter,7.763401109057301,92.2365988909427,541
shipwright,7.6923076923076925,92.3076923076923,13
health psychologist,7.6923076923076925,92.3076923076923,13
derrickhand,7.6923076923076925,92.3076923076923,13
physical education vocational teacher,7.6923076923076925,92.3076923076923,13
domestic butler,7.6923076923076925,92.3076923076923,13
public speaking coach,7.6923076923076925,92.3076923076923,13
statistical assistant,7.6923076923076925,92.3076923076923,26
laser cutting machine operator,7.6923076923076925,92.3076923076923,13
travel agency manager,7.6923076923076925,92.3076923076923,39
intelligent lighting engineer,7.6923076923076925,92.3076923076923,13
ship pilot dispatcher,7.6923076923076925,92.3076923076923,13
roadside vehicle technician,7.563025210084033,92.43697478991596,119
computer numerical control machine operator,7.5,92.5,40
marine surveyor,7.5,92.5,40
embedded system designer,7.5,92.5,40
assistant lecturer,7.421875,92.578125,256
offshore renewable energy technician,7.4074074074074066,92.5925925925926,108
maternity support worker,7.4074074074074066,92.5925925925926,27
factory hand,7.4074074074074066,92.5925925925926,27
transport equipment painter,7.4074074074074066,92.5925925925926,81
sewing machinist,7.4074074074074066,92.5925925925926,54
dangerous goods driver,7.38255033557047,92.61744966442953,149
corporate treasurer,7.352941176470589,92.64705882352942,68
nurse assistant,7.352941176470589,92.64705882352942,68
social work supervisor,7.317073170731707,92.6829268292683,41
corporate banking manager,7.2727272727272725,92.72727272727272,55
audit supervisor,7.1782178217821775,92.82178217821783,404
computer and accessories specialised seller,7.142857142857142,92.85714285714286,14
animation layout artist,7.142857142857142,92.85714285714286,14
chief data officer,7.142857142857142,92.85714285714286,112
cultural archive manager,7.142857142857142,92.85714285714286,14
spinning machine operator,7.142857142857142,92.85714285714286,14
aerodynamics engineer,7.142857142857142,92.85714285714286,98
labour market policy officer,7.142857142857142,92.85714285714286,42
"machinery, industrial equipment, ships and aircraft distribution manager",7.0588235294117645,92.94117647058823,85
model maker,7.000000000000001,93.0,100
integrated circuit design engineer,6.976744186046512,93.02325581395348,86
medical goods specialised seller,6.896551724137931,93.10344827586206,29
software architect,6.8493150684931505,93.15068493150685,73
cultural policy officer,6.8181818181818175,93.18181818181817,44
IT auditor,6.796116504854369,93.20388349514563,103
data entry clerk,6.756756756756757,93.24324324324324,74
ICT network engineer,6.722689075630252,93.27731092436974,119
metal furnace operator,6.666666666666667,93.33333333333333,15
fire safety tester,6.666666666666667,93.33333333333333,45
tax clerk,6.666666666666667,93.33333333333333,15
mathematics teacher at secondary school,6.666666666666667,93.33333333333333,30
supermarket manager,6.666666666666667,93.33333333333333,15
ICT quality assurance manager,6.666666666666667,93.33333333333333,30
concrete products machine operator,6.666666666666667,93.33333333333333,15
payroll clerk,6.593406593406594,93.4065934065934,91
gas station operator,6.578947368421052,93.42105263157895,76
digital forensics expert,6.493506493506493,93.5064935064935,77
flight test engineer,6.451612903225806,93.54838709677419,31
marine mechatronics technician,6.451612903225806,93.54838709677419,31
"technical sales representative in hardware, plumbing and heating equipment",6.299212598425196,93.7007874015748,127
automotive electrician,6.267409470752089,93.7325905292479,718
bank manager,6.25,93.75,16
carriage driver,6.25,93.75,64
garden labourer,6.25,93.75,48
agricultural machinery technician,6.25,93.75,16
user interface designer,6.25,93.75,112
advertising media planner,6.25,93.75,32
welder,6.1773255813953485,93.82267441860465,1376
cloud engineer,5.964912280701754,94.03508771929825,285
corporate investment banker,5.88235294117647,94.11764705882352,17
fire inspector,5.714285714285714,94.28571428571428,35
automotive battery technician,5.714285714285714,94.28571428571428,35
plastic and rubber products manufacturing supervisor,5.555555555555555,94.44444444444444,18
leather finishing operations manager,5.555555555555555,94.44444444444444,18
science teacher secondary school,5.555555555555555,94.44444444444444,18
specialised goods distribution manager,5.555555555555555,94.44444444444444,18
cylinder filler,5.555555555555555,94.44444444444444,36
software tester,5.454545454545454,94.54545454545455,55
structural ironworker,5.434782608695652,94.56521739130434,92
drone pilot,5.405405405405405,94.5945945945946,37
secondary school teacher,5.333333333333334,94.66666666666667,75
product assembly inspector,5.263157894736842,94.73684210526315,19
perfume and cosmetics distribution manager,5.263157894736842,94.73684210526315,57
import export specialist,5.263157894736842,94.73684210526315,38
investment fund management assistant,5.263157894736842,94.73684210526315,19
market research interviewer,5.128205128205128,94.87179487179486,117
data protection officer,5.0,95.0,40
hydraulic forging press worker,5.0,95.0,20
drawing artist,5.0,95.0,20
benefits advice worker,5.0,95.0,20
construction scaffolder,4.9504950495049505,95.04950495049505,101
construction general contractor,4.918032786885246,95.08196721311475,61
patient transport services driver,4.838709677419355,95.16129032258065,62
category manager,4.838709677419355,95.16129032258065,124
relationship banking manager,4.761904761904762,95.23809523809523,105
translation agency manager,4.761904761904762,95.23809523809523,42
fossil-fuel power plant operator,4.761904761904762,95.23809523809523,21
bank treasurer,4.761904761904762,95.23809523809523,21
data analyst,4.672897196261682,95.32710280373831,1284
mine geologist,4.651162790697675,95.34883720930233,43
oil mill operator,4.615384615384616,95.38461538461539,65
shop manager,4.597701149425287,95.40229885057471,348
casting machine operator,4.545454545454546,95.45454545454545,22
emergency medical dispatcher,4.395604395604396,95.6043956043956,91
business coach,4.3478260869565215,95.65217391304348,46
rental service representative in cars and light motor vehicles,4.166666666666666,95.83333333333334,24
ground rigger,4.166666666666666,95.83333333333334,48
police trainer,4.166666666666666,95.83333333333334,24
merchandiser,4.123711340206185,95.87628865979381,97
crane technician,4.093567251461988,95.90643274853801,171
mobile devices technician,4.081632653061225,95.91836734693877,49
tutor,4.0,96.0,25
shop supervisor,3.982300884955752,96.01769911504425,226
bicycle courier,3.937007874015748,96.06299212598425,127
database designer,3.9215686274509802,96.07843137254902,51
precision mechanics supervisor,3.8461538461538463,96.15384615384616,52
roustabout,3.8461538461538463,96.15384615384616,26
personal shopper,3.8461538461538463,96.15384615384616,26
aesthetician,3.8461538461538463,96.15384615384616,26
electron beam welder,3.7735849056603774,96.22641509433963,53
language school teacher,3.7037037037037033,96.29629629629629,27
meat and products distribution manager,3.571428571428571,96.42857142857143,28
fire service vehicle operator,3.5294117647058822,96.47058823529412,85
metal annealer,3.4482758620689653,96.55172413793103,29
pizzaiolo,3.4482758620689653,96.55172413793103,29
media scientist,3.4482758620689653,96.55172413793103,29
vessel assembly inspector,3.3333333333333335,96.66666666666667,60
retail department manager,3.314917127071823,96.68508287292818,181
domestic cleaner,3.278688524590164,96.72131147540983,61
real estate agent,3.278688524590164,96.72131147540983,61
curriculum administrator,3.225806451612903,96.7741935483871,31
vehicle electronics installer,3.225806451612903,96.7741935483871,31
embedded systems software developer,3.225806451612903,96.7741935483871,31
technical sales representative in machinery and industrial equipment,3.2,96.8,125
fragrance chemist,3.125,96.875,32
medical administrative assistant,3.125,96.875,32
market vendor,3.0303030303030303,96.96969696969697,99
mathematics lecturer,3.0303030303030303,96.96969696969697,33
automotive test driver,2.7777777777777777,97.22222222222221,324
clothing development manager,2.7027027027027026,97.2972972972973,37
gunsmith,2.7027027027027026,97.2972972972973,37
liquid waste treatment plant operator,2.7027027027027026,97.2972972972973,37
leather finishing operator,2.7027027027027026,97.2972972972973,37
credit risk analyst,2.666666666666667,97.33333333333334,75
sports instructor,2.631578947368421,97.36842105263158,38
winding machine operator,2.631578947368421,97.36842105263158,38
cook,2.631578947368421,97.36842105263158,38
drafter,2.564102564102564,97.43589743589743,39
rental service representative in trucks,2.564102564102564,97.43589743589743,39
anaesthetic technician,2.564102564102564,97.43589743589743,39
product quality controller,2.4390243902439024,97.5609756097561,82
diagnostic radiographer,2.380952380952381,97.61904761904762,42
motor vehicle aftersales manager,2.3255813953488373,97.67441860465115,43
aircraft assembler,2.3255813953488373,97.67441860465115,43
medical sales representative,2.1739130434782608,97.82608695652173,92
stand-in,2.158273381294964,97.84172661870504,278
mobile application developer,2.1505376344086025,97.84946236559139,93
personal stylist,2.142857142857143,97.85714285714285,280
art teacher secondary school,2.083333333333333,97.91666666666666,48
abrasive blasting operator,2.0,98.0,50
diesel engine mechanic,1.9965277777777777,98.00347222222221,1152
hearse driver,1.9829248141007987,98.0170751858992,3631
blockchain developer,1.9607843137254901,98.0392156862745,51
business lecturer,1.8518518518518516,98.14814814814815,54
beauty salon manager,1.8181818181818181,98.18181818181819,275
computer scientist,1.7241379310344827,98.27586206896551,58
ICT auditor manager,1.694915254237288,98.30508474576271,59
door to seller,1.6666666666666667,98.33333333333333,60
