Soft Skill,Category,Subcategory,Algeria Count,Standardized Count Algeria,Bahrain Count,Standardized Count Bahrain,Djibouti Count,Standardized Count Djibouti,Egypt Count,Standardized Count Egypt,Iraq Count,Standardized Count Iraq,Jordan Count,Standardized Count Jordan,Kuwait Count,Standardized Count Kuwait,Lebanon Count,Standardized Count Lebanon,Libya Count,Standardized Count Libya,Mauritania Count,Standardized Count Mauritania,Morocco Count,Standardized Count Morocco,Oman Count,Standardized Count Oman,Palestine Count,Standardized Count Palestine,Qatar Count,Standardized Count Qatar,Saudi Arabia Count,Standardized Count Saudi Arabia,Somalia Count,Standardized Count Somalia,Sudan Count,Standardized Count Sudan,Syria Count,Standardized Count Syria,Tunisia Count,Standardized Count Tunisia,United Arab Emirates Count,Standardized Count United Arab Emirates,Yemen Count,Standardized Count Yemen,US Count,Standardized Count US
Telephone Skills,Media and Communications,Communication,73,0.0799378,540,0.18016215,,,2135,0.1712348,162,0.04624119,322,0.0841322,1294,0.17957034,1427,0.31897178,22,0.09667355,1,0.01545356,178,0.09205103,,,30,0.089299,1687,0.18893218,1986,0.11037601,75,0.07632889,90,0.07012513,46,0.18701468,186,0.12150827,11314,0.3104415,21,0.02677888,1785,0.0825382
Conciliation,"Law, Regulation, and Compliance",Litigation and Civil Justice,71,0.07774773,,,,,2,0.00016041,2,0.00057088,22,0.00574816,,,8,0.00178821,,,6,0.09272137,95,0.04912836,,,,,36,0.00403175,15,0.00083366,14,0.01424806,4,0.00311667,,,17,0.01110559,28,0.00076828,,,5,0.0002312
Information Gathering,Public Safety and National Security,Intelligence Collection and Analysis,69,0.07555765,277,0.09241651,,,1934,0.15511387,606,0.17297631,623,0.16277751,906,0.12572699,753,0.16831517,51,0.22410687,15,0.23180343,154,0.07963966,,,107,0.31849978,1152,0.12901593,1953,0.10854197,309,0.31447501,364,0.28361721,38,0.15449039,293,0.19140819,4407,0.12092237,349,0.44503953,2007,0.09280346
Smartphone Operation,Information Technology,Basic Technical Knowledge,67,0.07336757,92,0.03069429,,,461,0.03697388,73,0.02083708,96,0.02508289,286,0.03968865,115,0.0257055,9,0.03954827,8,0.1236285,149,0.07705395,,,14,0.04167287,104,0.01164727,712,0.03957086,35,0.03562015,32,0.02493338,14,0.05691751,194,0.12673443,886,0.02431069,52,0.06630961,2632,0.12170338
Loading And Unloading,"Transportation, Supply Chain, and Logistics",Material Handling,67,0.07336757,878,0.2929303,,,422,0.03384594,779,0.22235733,201,0.0525173,2738,0.3799564,551,0.12316289,17,0.07470229,4,0.06181425,47,0.02430561,,,14,0.04167287,2367,0.26508742,4371,0.24292727,116,0.11805534,65,0.05064593,24,0.09757287,29,0.01894484,11164,0.30632569,43,0.05483295,2941,0.13599151
Social Skills,Physical and Inherent Abilities,Social Skills,65,0.07117749,161,0.05371501,,,237,0.01900827,58,0.01655549,94,0.02456033,142,0.01970555,259,0.05789327,2,0.0087885,,,217,0.11221952,,,15,0.0446495,304,0.03404587,231,0.0128383,68,0.06920486,19,0.0148042,6,0.02439322,138,0.0901513,1180,0.03237767,34,0.04335629,1039,0.04804324
Spreadsheets,Administration,Office and Productivity Equipment and Technology,64,0.07008246,153,0.05104594,,,870,0.06977718,184,0.05252086,368,0.09615108,555,0.07701819,308,0.06884605,17,0.07470229,1,0.01545356,98,0.05067978,,,27,0.0803691,757,0.0847787,1372,0.07625171,132,0.13433884,98,0.07635848,11,0.0447209,98,0.06402049,2597,0.07125831,80,0.10201479,1173,0.05423939
Team Oriented,Physical and Inherent Abilities,Social Skills,64,0.07008246,281,0.09375104,,,1019,0.08172752,189,0.05394806,288,0.07524867,536,0.07438153,514,0.11489243,17,0.07470229,24,0.37088549,229,0.1184252,,,48,0.1428784,943,0.10560939,2221,0.12343662,73,0.07429345,43,0.03350423,25,0.10163841,126,0.08231205,4532,0.12435221,51,0.06503443,10636,0.49180745
Needs Assessment,Physical and Inherent Abilities,Critical Thinking and Problem Solving,64,0.07008246,156,0.05204684,,,1057,0.08477526,856,0.24433617,1235,0.32268094,333,0.04621091,636,0.14216262,126,0.55367579,23,0.35543193,176,0.09101675,,,177,0.52686412,374,0.04188538,887,0.04929684,610,0.62080827,825,0.64281373,42,0.17075253,162,0.10582978,1676,0.04598727,465,0.59296098,1034,0.04781204
Compassion,Physical and Inherent Abilities,Social Skills,64,0.07008246,1020,0.34030628,,,1263,0.10129721,403,0.1150321,709,0.1852476,1284,0.17818262,403,0.09008103,53,0.23289537,7,0.10817493,462,0.23891897,,,27,0.0803691,2391,0.26777525,2581,0.14344435,364,0.37044953,224,0.17453367,25,0.10163841,81,0.05291489,8714,0.23910087,293,0.37362918,29273,1.35358024
Incident Reporting,"Law, Regulation, and Compliance",Regulation and Legal Compliance,63,0.06898742,202,0.06739399,,,573,0.04595669,417,0.11902825,331,0.08648372,385,0.05342703,110,0.02458787,27,0.11864481,5,0.07726781,61,0.03154558,,,30,0.089299,680,0.07615524,1333,0.0740842,76,0.0773466,158,0.12310857,27,0.10976948,36,0.02351773,2254,0.06184684,98,0.12496812,987,0.04563877
Clerical Works,Administration,Administrative Support and Clerical Tasks,62,0.06789238,633,0.21119007,,,1759,0.14107823,331,0.09448046,402,0.10503461,2123,0.29461192,1025,0.22911428,24,0.10546206,6,0.09272137,166,0.08584534,,,29,0.08632237,1952,0.21861032,2558,0.14216608,126,0.12823253,95,0.07402098,55,0.2236045,47,0.0307037,12318,0.33798996,40,0.0510074,3994,0.18468211
Resourcefulness,Physical and Inherent Abilities,Personal Attributes,62,0.06789238,266,0.08874654,,,1419,0.11380898,364,0.10389996,595,0.15546167,434,0.06022684,577,0.12897457,29,0.12743332,7,0.10817493,284,0.14686794,,,18,0.0535794,663,0.07425135,1455,0.0808646,84,0.08548835,346,0.26959218,52,0.2114079,175,0.1143223,4254,0.11672425,110,0.14027034,3517,0.16262569
Goal-Oriented,Physical and Inherent Abilities,Initiative and Leadership,61,0.06679734,149,0.04971141,,,1112,0.08918646,89,0.02540411,236,0.06166211,494,0.06855313,620,0.1385862,8,0.03515402,2,0.03090712,115,0.05947117,,,19,0.05655604,476,0.05330867,1591,0.08842308,51,0.05190364,86,0.06700846,17,0.06911412,141,0.09211111,3380,0.09274282,17,0.02167814,2699,0.12480146
Team Motivation,Business,People Management,61,0.06679734,277,0.09241651,,,624,0.05004708,48,0.01370109,166,0.0433725,365,0.0506516,269,0.06012853,5,0.02197126,3,0.04636069,70,0.03619984,,,14,0.04167287,598,0.06697181,1117,0.06207956,41,0.04172646,40,0.03116673,9,0.03658983,71,0.04638219,2110,0.05789567,14,0.01785259,1031,0.04767332
Composure,Physical and Inherent Abilities,Personal Attributes,58,0.06351223,251,0.08374203,,,586,0.04699934,213,0.0607986,194,0.05068834,546,0.07576925,298,0.06661079,22,0.09667355,2,0.03090712,94,0.04861122,,,19,0.05655604,778,0.08713055,1122,0.06235744,49,0.04986821,110,0.0857085,12,0.04878644,64,0.0418093,3654,0.10026102,57,0.07268554,2620,0.12114851
Aesthetics,Design,Creative Design,57,0.06241719,190,0.06339038,,,1093,0.08766259,89,0.02540411,90,0.02351521,480,0.06661033,572,0.12785694,5,0.02197126,,,351,0.18151636,,,2,0.00595327,507,0.05678045,832,0.0462401,23,0.02340753,17,0.01324586,14,0.05691751,113,0.07381954,2776,0.07616984,3,0.00382555,1628,0.07527854
Organizational Awareness,Analysis,Business Intelligence,56,0.06132215,9,0.0030027,,,88,0.00705792,196,0.05594613,111,0.02900209,35,0.004857,73,0.01631741,30,0.13182757,54,0.83449235,18,0.00930853,,,1,0.00297663,195,0.02183863,165,0.00917021,78,0.07938204,232,0.18076701,5,0.02032768,42,0.02743735,141,0.00386886,41,0.05228258,49,0.00226575
Intellectual Curiosity,Physical and Inherent Abilities,Personal Attributes,56,0.06132215,141,0.04704234,,,1188,0.09528194,55,0.01569917,492,0.12854982,125,0.01734644,158,0.03531713,6,0.02636551,,,216,0.11170238,,,10,0.02976633,365,0.04087744,1290,0.07169439,17,0.01730121,51,0.03973758,5,0.02032768,84,0.0548747,2957,0.08113625,55,0.07013517,4319,0.19971008
Creative Thinking,Physical and Inherent Abilities,Initiative and Leadership,56,0.06132215,252,0.08407567,,,1401,0.11236532,211,0.06022772,491,0.12828854,574,0.07965485,673,0.15043308,15,0.06591378,,,92,0.04757694,,,16,0.04762613,716,0.08018698,1666,0.09259136,54,0.0549568,164,0.12778358,24,0.09757287,77,0.05030181,3846,0.10552926,12,0.01530222,1466,0.06778768
Ideation,Physical and Inherent Abilities,Critical Thinking and Problem Solving,56,0.06132215,176,0.05871951,,,875,0.0701782,58,0.01655549,218,0.05695907,240,0.03330516,366,0.08181056,3,0.01318276,3,0.04636069,94,0.04861122,,,6,0.0178598,279,0.03124605,1049,0.05830032,23,0.02340753,63,0.04908759,9,0.03658983,45,0.02939716,2262,0.06206635,15,0.01912777,1887,0.08725467
Team Performance Management,Business,People Management,55,0.06022711,197,0.06572582,,,1874,0.15030165,239,0.06822003,243,0.06349107,485,0.06730418,313,0.06996368,6,0.02636551,6,0.09272137,112,0.05791975,,,22,0.06548594,712,0.07973901,1766,0.09814906,37,0.03765558,69,0.0537626,37,0.15042485,74,0.048342,3113,0.08541669,38,0.04845703,2433,0.11250165
Calmness Under Pressure,Physical and Inherent Abilities,Personal Attributes,54,0.05913207,151,0.05037867,,,358,0.02871291,518,0.14785763,177,0.04624658,421,0.05842281,503,0.11243364,33,0.14501033,6,0.09272137,55,0.02844273,,,5,0.01488317,679,0.07604324,953,0.05296492,192,0.19540195,230,0.17920868,38,0.15449039,105,0.06859338,3153,0.08651423,33,0.0420811,896,0.04143094
Tenacity,Physical and Inherent Abilities,Personal Attributes,53,0.05803703,82,0.02735796,,,216,0.01732399,136,0.03881976,74,0.01933473,111,0.01540364,109,0.02436435,3,0.01318276,3,0.04636069,69,0.0356827,,,4,0.01190653,307,0.03438185,590,0.03279046,14,0.01424806,72,0.05610011,12,0.04878644,135,0.08819149,1647,0.04519155,25,0.03187962,1833,0.08475771
Technical Acumen,Physical and Inherent Abilities,Personal Attributes,53,0.05803703,190,0.06339038,,,942,0.07555184,185,0.0528063,167,0.04363378,446,0.06189209,382,0.08538698,7,0.03075977,4,0.06181425,113,0.05843689,,,1,0.00297663,403,0.04513318,1740,0.09670406,43,0.04376189,63,0.04908759,11,0.0447209,55,0.03592986,4047,0.11104444,18,0.02295333,4838,0.22370858
Editing,Media and Communications,Writing and Editing,53,0.05803703,282,0.09408468,,,3019,0.24213483,416,0.11874281,994,0.25971244,815,0.11309878,1601,0.35786533,36,0.15819308,8,0.1236285,132,0.06826256,,,77,0.22920077,1194,0.13371963,1801,0.10009426,197,0.20049054,278,0.21660875,36,0.14635931,216,0.14110638,5764,0.15815669,180,0.22953328,2032,0.09395945
Public Speaking,Media and Communications,Communication,50,0.05475192,120,0.04003603,,,508,0.04074346,205,0.05851509,239,0.06244595,212,0.02941956,258,0.05766974,24,0.10546206,1,0.01545356,53,0.02740845,,,42,0.1250186,358,0.04009349,659,0.03662527,64,0.06513398,85,0.06622929,14,0.05691751,74,0.048342,1427,0.03915503,38,0.04845703,915,0.0423095
Google Sheets,Administration,Office and Productivity Equipment and Technology,49,0.05365688,81,0.02702432,,,547,0.0438714,35,0.00999038,119,0.03109233,123,0.0170689,101,0.02257614,2,0.0087885,,,75,0.03878555,,,1,0.00297663,57,0.0063836,286,0.01589503,11,0.0111949,17,0.01324586,3,0.01219661,33,0.02155792,708,0.0194266,7,0.00892629,1016,0.04697973
Lifting Ability,Physical and Inherent Abilities,Physical Abilities,49,0.05365688,1022,0.34097354,,,292,0.02341947,6015,1.71691828,249,0.06505875,7756,1.07631184,266,0.05945795,17,0.07470229,5,0.07726781,42,0.02171991,,,,,2901,0.32489167,3055,0.16978787,94,0.09566554,33,0.02571255,14,0.05691751,39,0.02547754,7130,0.19563796,28,0.03570518,21167,0.97875971
Results Focused,Physical and Inherent Abilities,Initiative and Leadership,48,0.05256184,28,0.00934174,,,249,0.01997071,295,0.08420464,138,0.03605666,45,0.00624472,258,0.05766974,3,0.01318276,9,0.13908206,90,0.04654266,,,24,0.0714392,91,0.01019136,267,0.01483907,137,0.13942743,109,0.08492933,5,0.02032768,51,0.03331678,580,0.01591445,112,0.14282071,878,0.04059862
Word Processing,Information Technology,Basic Technical Knowledge,47,0.0514668,164,0.05471591,,,558,0.04475364,122,0.03482361,217,0.05669779,480,0.06661033,251,0.05610506,5,0.02197126,,,82,0.04240553,,,26,0.07739247,587,0.06573989,1139,0.06330225,108,0.1099136,109,0.08492933,6,0.02439322,52,0.03397005,1962,0.05383474,53,0.0675848,746,0.03449496
Dealing With Ambiguity,Physical and Inherent Abilities,Critical Thinking and Problem Solving,47,0.0514668,50,0.01668168,,,362,0.02903372,180,0.0513791,279,0.07289715,83,0.01151804,121,0.02704666,45,0.19774135,7,0.10817493,86,0.04447409,,,2,0.00595327,189,0.02116668,465,0.02584333,73,0.07429345,266,0.20725873,9,0.03658983,55,0.03592986,946,0.02595701,102,0.13006886,750,0.03467992
Telecommuting,Human Resources,Compensation and Benefits,47,0.0514668,507,0.16915224,,,348,0.02791087,46,0.01313021,202,0.05277858,285,0.03954988,322,0.07197541,21,0.0922793,1,0.01545356,115,0.05947117,,,8,0.02381307,416,0.04658909,851,0.04729607,21,0.02137209,59,0.04597092,21,0.08537627,28,0.01829157,1568,0.04302389,7,0.00892629,1263,0.05840098
Typing,Information Technology,Basic Technical Knowledge,46,0.05037177,171,0.05705135,,,1318,0.10570841,150,0.04281592,288,0.07524867,1973,0.27379619,597,0.1334451,13,0.05712528,,,62,0.03206272,,,22,0.06548594,1558,0.17448508,3193,0.17745751,128,0.13026797,33,0.02571255,29,0.11790056,81,0.05291489,7775,0.21333592,102,0.13006886,2325,0.10750774
Mechanical Aptitude,Physical and Inherent Abilities,Personal Attributes,45,0.04927673,41,0.01367898,,,98,0.00785996,61,0.01741181,16,0.00418048,354,0.04912512,34,0.00759989,2,0.0087885,,,17,0.00879139,,,,,167,0.01870283,563,0.03128988,5,0.00508859,4,0.00311667,1,0.00406554,6,0.00391962,607,0.01665529,,,1508,0.06972975
Good Driving Record,Physical and Inherent Abilities,Personal Attributes,45,0.04927673,539,0.17982851,,,126,0.01010566,90,0.02568955,104,0.02717313,1412,0.19594537,223,0.04984633,5,0.02197126,2,0.03090712,20,0.01034281,,,9,0.0267897,1275,0.14279107,2427,0.13488549,47,0.04783277,10,0.00779168,5,0.02032768,15,0.00979905,5366,0.14723609,3,0.00382555,12445,0.57545541
Assertiveness,Physical and Inherent Abilities,Personal Attributes,44,0.04818169,148,0.04937777,,,466,0.0373749,230,0.06565107,87,0.02273137,89,0.01235066,101,0.02257614,2,0.0087885,2,0.03090712,74,0.03826841,,,4,0.01190653,271,0.0303501,707,0.03929297,16,0.0162835,17,0.01324586,17,0.06911412,103,0.06728684,1968,0.05399937,12,0.01530222,618,0.02857625
Knowledge Transfer,Media and Communications,Communication,42,0.04599161,132,0.04403964,,,1322,0.10602923,177,0.05052278,404,0.10555717,163,0.02261976,126,0.02816429,13,0.05712528,7,0.10817493,136,0.07033113,,,35,0.10418217,643,0.07201149,1772,0.09848252,159,0.16181724,158,0.12310857,13,0.05285197,123,0.08035224,1346,0.0369325,87,0.11094109,1392,0.06436592
Portuguese Language,Media and Communications,Language Competency,42,0.04599161,44,0.01467988,,,318,0.02550476,8,0.00228352,41,0.01071248,21,0.0029142,66,0.01475272,1,0.00439425,2,0.03090712,99,0.05119692,,,3,0.0089299,48,0.00537566,55,0.00305674,5,0.00508859,116,0.09038351,6,0.02439322,81,0.05291489,422,0.01157913,15,0.01912777,420,0.01942075
Self-Awareness,Physical and Inherent Abilities,Personal Attributes,39,0.0427065,94,0.03136156,,,661,0.05301461,136,0.03881976,459,0.11992757,135,0.01873415,205,0.04582286,25,0.10985631,14,0.21634987,130,0.06722828,,,35,0.10418217,300,0.0335979,824,0.04579549,105,0.10686044,308,0.23998379,8,0.03252429,79,0.05160835,1596,0.04379217,72,0.09181331,1320,0.06103665
Optimism,Physical and Inherent Abilities,Personal Attributes,39,0.0427065,410,0.13678978,,,743,0.05959131,51,0.01455741,259,0.06767155,118,0.01637504,109,0.02436435,3,0.01318276,,,46,0.02378847,,,9,0.0267897,473,0.05297269,427,0.0237314,15,0.01526578,37,0.02882922,6,0.02439322,60,0.03919622,1657,0.04546593,10,0.01275185,1934,0.08942794
Reading Comprehension,Media and Communications,Language Competency,39,0.0427065,94,0.03136156,,,90,0.00721833,13,0.00371071,19,0.00496432,61,0.00846506,21,0.00469405,2,0.0087885,,,16,0.00827425,,,1,0.00297663,67,0.00750353,119,0.00661367,3,0.00305316,6,0.00467501,,,28,0.01829157,196,0.00537799,4,0.00510074,93,0.00430031
Personal Integrity,Physical and Inherent Abilities,Personal Attributes,38,0.04161146,142,0.04737597,,,384,0.0307982,142,0.0405324,190,0.04964322,220,0.03052973,180,0.0402347,13,0.05712528,4,0.06181425,89,0.04602552,,,8,0.02381307,278,0.03113405,754,0.04190509,86,0.08752379,87,0.06778763,8,0.03252429,30,0.01959811,1447,0.0397038,49,0.06248406,1453,0.06718656
Virtual Teams,Business,People Management,38,0.04161146,515,0.17182131,,,1125,0.09022911,218,0.0622258,187,0.04885938,341,0.04732109,145,0.03241129,10,0.04394252,2,0.03090712,167,0.08636248,,,1,0.00297663,366,0.04098944,1380,0.07669632,30,0.03053155,142,0.11064188,14,0.05691751,179,0.11693538,1729,0.04744152,4,0.00510074,2160,0.09987816
Business Ethics,Business,Business Management,37,0.04051642,65,0.02168618,,,571,0.04579629,88,0.02511867,122,0.03187617,184,0.02553396,145,0.03241129,8,0.03515402,14,0.21634987,110,0.05688547,,,12,0.0357196,204,0.02284657,804,0.04468394,6,0.00610631,40,0.03116673,12,0.04878644,37,0.024171,1254,0.03440813,8,0.01020148,361,0.0166926
Professional Networking,Media and Communications,Communication,37,0.04051642,155,0.05171321,,,885,0.07098023,62,0.01769725,188,0.04912066,223,0.03094605,180,0.0402347,5,0.02197126,1,0.01545356,102,0.05274834,,,35,0.10418217,217,0.02430248,573,0.03184565,24,0.02442524,35,0.02727089,15,0.06098305,82,0.05356816,1405,0.03855138,11,0.01402703,1026,0.04744213
Digitization,Information Technology,Computer Science,37,0.04051642,49,0.01634805,,,649,0.05205217,84,0.02397691,233,0.06087827,135,0.01873415,94,0.02101146,1,0.00439425,,,54,0.02792559,,,11,0.03274297,181,0.02027073,1021,0.05674416,42,0.04274418,42,0.03272506,12,0.04878644,59,0.03854295,1240,0.03402399,17,0.02167814,1801,0.08327804
Complex Problem Solving,Physical and Inherent Abilities,Critical Thinking and Problem Solving,34,0.0372313,150,0.05004504,,,652,0.05229278,217,0.06194036,207,0.05408498,467,0.0648063,208,0.04649343,32,0.14061607,1,0.01545356,183,0.09463673,,,21,0.0625093,626,0.07010761,1538,0.0854775,43,0.04376189,45,0.03506257,8,0.03252429,118,0.07708589,1620,0.0444507,32,0.04080592,2244,0.10376231
Constructive Feedback,Business,People Management,34,0.0372313,297,0.09908918,,,1779,0.1426823,503,0.14357604,558,0.1457943,450,0.06244718,453,0.10125733,47,0.20652986,13,0.20089631,122,0.06309116,,,51,0.1518083,903,0.10112967,1400,0.07780786,108,0.1099136,222,0.17297533,21,0.08537627,99,0.06467376,3332,0.09142576,320,0.40805917,3964,0.18329492
Transcribing,Administration,Dictation,33,0.03613627,458,0.15280419,,,672,0.05389685,545,0.1555645,103,0.02691185,534,0.07410399,292,0.06526963,10,0.04394252,1,0.01545356,74,0.03826841,,,7,0.02083643,430,0.04815699,598,0.03323507,83,0.08447063,19,0.0148042,7,0.02845876,84,0.0548747,1725,0.04733176,45,0.05738332,2342,0.10829382
Emergency Procedures,Public Safety and National Security,Emergency Services,32,0.03504123,417,0.13912521,,,408,0.03272309,139,0.03967608,137,0.03579538,305,0.04232531,81,0.01810562,13,0.05712528,6,0.09272137,103,0.05326548,,,10,0.02976633,1082,0.12117642,1146,0.06369129,21,0.02137209,13,0.01012919,35,0.14229378,60,0.03919622,3373,0.09255075,20,0.0255037,959,0.04434405
Listening Skills,Media and Communications,Communication,32,0.03504123,147,0.04904414,,,595,0.04772117,123,0.03510905,395,0.10320565,337,0.046766,380,0.08493993,19,0.08349079,2,0.03090712,124,0.06412544,,,12,0.0357196,372,0.04166139,904,0.05024165,45,0.04579733,64,0.04986676,23,0.09350734,242,0.15809141,1743,0.04782566,28,0.03570518,1310,0.06057425
Arithmetic,Analysis,Mathematics and Mathematical Modeling,32,0.03504123,62,0.02068528,,,145,0.01162953,218,0.0622258,69,0.01802833,179,0.0248401,111,0.0248114,11,0.04833678,1,0.01545356,313,0.16186502,,,,,205,0.02295856,468,0.02601006,12,0.01221262,10,0.00779168,3,0.01219661,29,0.01894484,567,0.01555775,9,0.01147666,2553,0.11805043
Hand Trucks,"Transportation, Supply Chain, and Logistics",Material Handling,30,0.03285115,22,0.00733994,,,20,0.00160407,254,0.07250162,11,0.00287408,163,0.02261976,10,0.00223526,,,,,1,0.00051714,,,,,88,0.00985538,125,0.00694713,3,0.00305316,1,0.00077917,,,3,0.00195981,221,0.00606395,5,0.00637592,355,0.01641516
Cultural Sensitivity,Physical and Inherent Abilities,Social Skills,30,0.03285115,79,0.02635705,,,235,0.01884786,5043,1.43947114,755,0.19726649,413,0.05731263,200,0.04470522,23,0.1010678,7,0.10817493,124,0.06412544,,,59,0.17562137,394,0.04412524,672,0.03734777,282,0.28699661,301,0.23452962,24,0.09757287,86,0.05618124,1729,0.04744152,223,0.28436623,680,0.03144312
Calculators,Information Technology,Basic Technical Knowledge,29,0.03175611,53,0.01768258,,,99,0.00794016,252,0.07193074,60,0.01567681,174,0.02414624,57,0.01274099,9,0.03954827,29,0.4481533,27,0.0139628,,,,,82,0.00918343,167,0.00928137,82,0.08345292,187,0.14570445,10,0.04065536,36,0.02351773,349,0.00957611,34,0.04335629,512,0.02367482
Trustworthiness,Physical and Inherent Abilities,Personal Attributes,29,0.03175611,380,0.12678077,,,884,0.07090003,611,0.1744035,269,0.07028435,727,0.10088689,740,0.16540933,29,0.12743332,1,0.01545356,58,0.02999416,,,23,0.06846257,1216,0.13618348,1328,0.07380632,160,0.16283496,98,0.07635848,43,0.17481807,65,0.04246257,4680,0.12841313,86,0.1096659,2622,0.12124099
Checklists,Administration,Administrative Support and Clerical Tasks,28,0.03066107,29,0.00967537,,,222,0.01780521,181,0.05166454,110,0.02874081,127,0.01762398,135,0.03017603,10,0.04394252,,,24,0.01241138,,,3,0.0089299,229,0.0256464,398,0.02211966,61,0.06208083,22,0.0171417,4,0.01626215,21,0.01371868,546,0.01498153,65,0.08288702,395,0.01826476
Project Design,Business,Project Management,28,0.03066107,129,0.04303873,,,1059,0.08493567,642,0.18325213,710,0.18550888,91,0.01262821,242,0.05409332,29,0.12743332,5,0.07726781,35,0.01809992,,,80,0.23813067,699,0.0782831,1729,0.09609271,287,0.2920852,424,0.3303673,26,0.10570395,94,0.06140741,2152,0.05904809,207,0.26396327,969,0.04480645
Data Reporting,Administration,Administrative Support and Clerical Tasks,27,0.02956604,91,0.03036066,,,458,0.03673327,147,0.0419596,255,0.06662643,270,0.03746831,156,0.03487008,9,0.03954827,1,0.01545356,51,0.02637417,,,19,0.05655604,228,0.0255344,636,0.035347,48,0.04885049,81,0.06311262,14,0.05691751,69,0.04507565,1310,0.0359447,64,0.08161183,689,0.03185928
Creative Problem Solving,Physical and Inherent Abilities,Critical Thinking and Problem Solving,27,0.02956604,126,0.04203783,,,715,0.05734561,107,0.03054202,475,0.12410806,303,0.04204777,253,0.05655211,8,0.03515402,2,0.03090712,88,0.04550838,,,30,0.089299,397,0.04446122,872,0.04846318,63,0.06411626,178,0.13869193,5,0.02032768,97,0.06336722,2166,0.05943223,35,0.04463147,2877,0.13303216
Mobile Devices,Information Technology,Basic Technical Knowledge,26,0.028471,12,0.0040036,,,61,0.00489242,7,0.00199808,19,0.00496432,17,0.00235912,23,0.0051411,,,,,4,0.00206856,,,,,30,0.00335979,44,0.00244539,4,0.00407087,,,,,1,0.00065327,68,0.00186583,11,0.01402703,95,0.00439279
Ingenuity,Physical and Inherent Abilities,Personal Attributes,25,0.02737596,27,0.00900811,,,216,0.01732399,77,0.02197884,30,0.0078384,84,0.01165681,36,0.00804694,13,0.05712528,2,0.03090712,31,0.01603136,,,1,0.00297663,425,0.04759702,1375,0.07641844,10,0.01017718,3,0.0023375,,,11,0.00718597,1003,0.02752102,,,1549,0.07162559
Persistence,Physical and Inherent Abilities,Personal Attributes,24,0.02628092,41,0.01367898,,,419,0.03360533,367,0.10475628,150,0.03919202,154,0.02137081,395,0.08829282,32,0.14061607,5,0.07726781,98,0.05067978,,,1,0.00297663,212,0.02374251,447,0.02484294,193,0.19641967,190,0.14804195,31,0.12603163,54,0.03527659,797,0.02186865,24,0.03060444,862,0.03985878
Systems Thinking,Physical and Inherent Abilities,Personal Attributes,24,0.02628092,21,0.00700631,,,109,0.0087422,169,0.04823927,197,0.05147218,8,0.00111017,49,0.01095278,20,0.08788505,2,0.03090712,26,0.01344566,,,11,0.03274297,91,0.01019136,310,0.01722888,94,0.09566554,152,0.11843356,2,0.00813107,22,0.01437195,355,0.00974074,64,0.08161183,498,0.02302746
Retail Sales,Sales,Retail Sales,23,0.02518588,402,0.13412071,,,822,0.0659274,163,0.04652663,125,0.03266001,1191,0.16527687,825,0.18440905,5,0.02197126,,,69,0.0356827,,,6,0.0178598,942,0.1054974,1718,0.09548136,69,0.07022258,16,0.01246669,30,0.12196609,41,0.02678408,5288,0.14509587,7,0.00892629,4568,0.21122381
Data Compilation,Information Technology,Data Management,23,0.02518588,42,0.01401261,,,237,0.01900827,86,0.02454779,71,0.01855089,252,0.03497042,194,0.04336407,4,0.01757701,,,25,0.01292852,,,4,0.01190653,209,0.02340654,310,0.01722888,49,0.04986821,26,0.02025837,7,0.02845876,24,0.01567849,829,0.02274669,34,0.04335629,414,0.01914331
Emotional Intelligence,Physical and Inherent Abilities,Initiative and Leadership,23,0.02518588,56,0.01868348,,,302,0.0242215,47,0.01341565,146,0.0381469,77,0.01068541,125,0.02794077,5,0.02197126,,,77,0.03981983,,,24,0.0714392,155,0.01735891,649,0.0360695,26,0.02646068,46,0.03584174,14,0.05691751,28,0.01829157,1611,0.04420375,24,0.03060444,1814,0.08387916
Success Driven,Physical and Inherent Abilities,Initiative and Leadership,22,0.02409084,12,0.0040036,,,46,0.00368937,138,0.03939064,12,0.00313536,23,0.00319174,15,0.00335289,2,0.0087885,,,17,0.00879139,,,,,12,0.00134392,34,0.00188962,1,0.00101772,11,0.00857085,,,13,0.00849251,80,0.0021951,,,84,0.00388415
Punctuality,Physical and Inherent Abilities,Initiative and Leadership,21,0.02299581,164,0.05471591,,,628,0.05036789,101,0.02882938,203,0.05303986,309,0.0428804,305,0.06817547,33,0.14501033,7,0.10817493,68,0.03516556,,,23,0.06846257,459,0.05140478,840,0.04668472,80,0.08141748,82,0.06389179,14,0.05691751,127,0.08296532,2867,0.07866676,84,0.10711553,2965,0.13710127
Lifelong Learning,Physical and Inherent Abilities,Personal Attributes,21,0.02299581,44,0.01467988,,,571,0.04579629,142,0.0405324,61,0.01593809,249,0.03455411,43,0.00961162,18,0.07909654,1,0.01545356,169,0.08739677,,,5,0.01488317,358,0.04009349,398,0.02211966,19,0.01933665,24,0.01870004,9,0.03658983,7,0.00457289,1059,0.02905759,5,0.00637592,490,0.02265755
Friendliness,Physical and Inherent Abilities,Social Skills,20,0.02190077,613,0.2045174,,,158,0.01267218,15,0.00428159,84,0.02194753,322,0.04468443,103,0.02302319,2,0.0087885,,,138,0.07136541,,,,,764,0.08556265,445,0.02473179,16,0.0162835,1,0.00077917,,,8,0.00522616,2102,0.05767616,3,0.00382555,858,0.03967382
