Soft Skill,Category,Subcategory,Algeria Count,Standardized Count Algeria,Bahrain Count,Standardized Count Bahrain,Djibouti Count,Standardized Count Djibouti,Egypt Count,Standardized Count Egypt,Iraq Count,Standardized Count Iraq,Jordan Count,Standardized Count Jordan,Kuwait Count,Standardized Count Kuwait,Lebanon Count,Standardized Count Lebanon,Libya Count,Standardized Count Libya,Mauritania Count,Standardized Count Mauritania,Morocco Count,Standardized Count Morocco,Oman Count,Standardized Count Oman,Palestine Count,Standardized Count Palestine,Qatar Count,Standardized Count Qatar,Saudi Arabia Count,Standardized Count Saudi Arabia,Somalia Count,Standardized Count Somalia,Sudan Count,Standardized Count Sudan,Syria Count,Standardized Count Syria,Tunisia Count,Standardized Count Tunisia,United Arab Emirates Count,Standardized Count United Arab Emirates,Yemen Count,Standardized Count Yemen,US Count,Standardized Count US
Ethical Standards And Conduct,"Law, Regulation, and Compliance",Regulation and Legal Compliance,628,0.6876841,1533,0.51146031,,,7257,0.58203791,3267,0.93253068,5321,1.3902715,3437,0.47695768,2909,0.6502375,343,1.50722855,74,1.14356359,1187,0.61384592,,,335,0.9971722,4769,0.53409459,11927,0.66286742,1558,1.58560539,1694,1.31991086,198,0.80497622,1356,0.88583449,19216,0.52726214,1349,1.72022443,16978,0.78506082
Quality Assurance,"Law, Regulation, and Compliance",Quality Assurance and Control,608,0.66578334,1639,0.54682548,,,7850,0.62959868,6487,1.8516457,2684,0.70127583,3680,0.51067916,1825,0.40793518,82,0.36032869,34,0.52542111,896,0.463358,,,125,0.37207918,6771,0.75830456,13718,0.76240591,603,0.61368424,659,0.51347182,119,0.48379884,788,0.51477697,17341,0.47581457,394,0.50242285,10852,0.50179526
Research,Science and Research,General Science and Research,579,0.63402722,2574,0.8587729,,,13555,1.08716052,3358,0.95850567,5287,1.38138797,6225,0.86385266,5095,1.1388656,220,0.96673551,45,0.69541029,2293,1.18580346,,,446,1.32757851,7126,0.79806207,19617,1.0902549,1673,1.70264301,1537,1.19758146,274,1.11395699,1390,0.90804568,32485,0.8913463,824,1.05075236,22668,1.04816578
Accountability,Physical and Inherent Abilities,Initiative and Leadership,572,0.62636195,1733,0.57818703,,,5551,0.44521048,5267,1.50340957,6850,1.78976879,4014,0.55702885,2502,0.55926236,582,2.55745485,123,1.90078813,1971,1.01928417,,,607,1.80681649,4059,0.45457956,9991,0.55527026,2257,2.29699061,3662,2.8533138,275,1.11802252,751,0.49060597,14917,0.40930315,2240,2.85641418,16763,0.77511924
Forecasting,Analysis,Data Analysis,562,0.61541157,1748,0.58319154,,,10273,0.82393213,1356,0.38705589,1562,0.40811954,3751,0.52053194,2637,0.58943839,104,0.45700224,39,0.60268892,1218,0.62987728,,,130,0.38696235,4777,0.53499053,12614,0.70104885,370,0.37655584,577,0.44958003,217,0.88222141,545,0.3560323,23637,0.64856865,240,0.30604438,7738,0.35780425
Budgeting,Finance,Budget Management,558,0.61103142,2025,0.67560805,,,9540,0.76514285,1921,0.54832918,2612,0.68246366,4371,0.60657028,3059,0.68376642,214,0.94037,65,1.00448153,1012,0.52334631,,,286,0.85131716,6181,0.69222869,13728,0.76296168,744,0.75718255,1330,1.03629365,239,0.97166321,679,0.44357051,25998,0.71335143,572,0.72940576,9159,0.42351113
Security Policies,Public Safety and National Security,Safety and Security,549,0.60117607,1474,0.49177593,,,3559,0.2854448,921,0.26288973,1382,0.36108912,1048,0.14543254,356,0.0795753,73,0.32078042,12,0.18544274,575,0.29735586,,,45,0.1339485,4378,0.49030533,5026,0.27933023,219,0.22288035,379,0.29530473,35,0.14229378,417,0.2724137,10690,0.29331975,226,0.28819179,3892,0.17996564
Business Administration,Business,Business Operations,530,0.58037034,1720,0.5738498,,,11348,0.91015106,1658,0.47325861,3380,0.88312679,3425,0.47529243,5218,1.16635932,155,0.68110911,52,0.80358523,810,0.41888391,,,427,1.27102247,5187,0.58090766,16504,0.91724356,998,1.01568304,1117,0.87033083,151,0.613896,708,0.46251535,21276,0.58378587,542,0.69115022,5352,0.24747588
Organizational Skills,Physical and Inherent Abilities,Personal Attributes,510,0.55846957,4071,1.3582224,,,11269,0.90381497,3149,0.89884882,3764,0.98345836,10574,1.46736996,6774,1.51416597,189,0.83051369,45,0.69541029,1301,0.67279995,,,421,1.25316267,12486,1.39834452,21650,1.20324303,867,0.88236192,1062,0.82747659,267,1.08549823,1003,0.65523008,55605,1.52572914,731,0.93216016,30646,1.41706761
Scheduling,Administration,Scheduling,509,0.55737454,3088,1.03026057,,,8311,0.66657256,3081,0.87943894,2063,0.53902088,5663,0.78586307,2872,0.64196703,101,0.44381948,38,0.58723536,988,0.51093494,,,104,0.30956988,9124,1.02182407,17074,0.94892247,370,0.37655584,374,0.29140889,196,0.79684514,656,0.4285453,29933,0.82132273,245,0.3124203,22650,1.04733346
Mentorship,Education and Training,Teaching,501,0.54861423,1670,0.55716812,,,7626,0.61163306,2542,0.72558708,3186,0.83243845,2665,0.36982608,1610,0.35987706,184,0.80854243,59,0.91176016,1228,0.63504869,,,195,0.58044352,4782,0.5355505,14227,0.79069462,869,0.88439736,1416,1.10330211,142,0.57730618,738,0.48211346,18178,0.49878076,735,0.9372609,31038,1.43519364
Consulting,Business,Business Consulting,472,0.51685812,1690,0.56384079,,,10359,0.83082964,3656,1.04356662,2977,0.7778309,3571,0.49555307,1842,0.41173512,74,0.32517467,11,0.16998918,2131,1.10202667,,,175,0.52091085,6991,0.78294302,22962,1.27616012,594,0.60452478,410,0.31945895,169,0.68707566,2725,1.78016149,29264,0.80296623,231,0.29456771,22356,1.03373893
Troubleshooting (Problem Solving),Physical and Inherent Abilities,Critical Thinking and Problem Solving,469,0.513573,2591,0.86444467,,,7714,0.61869098,3804,1.08581166,1452,0.37937873,9290,1.28918734,2518,0.56283878,97,0.42624247,40,0.61814248,812,0.41991819,,,80,0.23813067,7211,0.80758148,13465,0.74834492,278,0.28292574,422,0.32880896,135,0.54884742,622,0.40633411,19155,0.52558837,173,0.22060699,21147,0.97783491
Strategic Planning,Physical and Inherent Abilities,Critical Thinking and Problem Solving,465,0.50919285,900,0.30027024,,,4736,0.3798445,1781,0.50836766,2110,0.55130104,1967,0.27296356,1512,0.3379715,169,0.74262864,38,0.58723536,778,0.40233541,,,228,0.67867242,3228,0.36151338,9501,0.52803751,813,0.82740512,1017,0.79241402,154,0.62609261,461,0.30115759,14206,0.38979423,478,0.60953838,7120,0.329228
Packaging And Labeling,"Transportation, Supply Chain, and Logistics",General Shipping and Receiving,453,0.49605239,818,0.27291229,,,3274,0.26258676,712,0.20323289,416,0.10869253,2451,0.34012897,1720,0.38446493,32,0.14061607,3,0.04636069,606,0.31338722,,,39,0.1160887,1375,0.15399037,3660,0.20341199,168,0.1709767,129,0.10051269,82,0.33337399,953,0.62256657,8738,0.2397594,61,0.07778628,4606,0.21298092
Professionalism,Physical and Inherent Abilities,Personal Attributes,450,0.49276727,2313,0.77169453,,,6675,0.53535938,3359,0.95879111,3811,0.99573852,5955,0.82638435,4124,0.92182174,238,1.04583205,136,2.10168444,993,0.51352064,,,194,0.57746688,7956,0.89101626,10154,0.56432932,936,0.9525845,1528,1.19056895,183,0.74399317,1164,0.7604066,32789,0.89968767,1002,1.27773527,21221,0.98125666
Multitasking,Physical and Inherent Abilities,Personal Attributes,433,0.47415162,3599,1.20074734,,,13517,1.08411278,2182,0.62282888,3014,0.78749827,7332,1.01747272,6018,1.34518022,162,0.71186888,20,0.30907124,987,0.5104178,,,349,1.03884507,10240,1.14680826,13247,0.73622912,649,0.66049929,806,0.62800954,231,0.93913892,856,0.55919935,46648,1.27996066,407,0.51900026,24461,1.1310739
Computer Literacy,Information Technology,Basic Technical Knowledge,410,0.44896574,1479,0.4934441,,,6407,0.51386481,6376,1.81996192,3517,0.91892217,5855,0.8125072,5635,1.25956971,214,0.94037,82,1.26719209,573,0.29632158,,,559,1.66393809,6563,0.73501002,10711,0.59528573,867,0.88236192,1632,1.27160244,216,0.87815587,440,0.28743892,22819,0.62612379,1134,1.44605968,10256,0.47423629
Business Objectives,Business,Business Operations,399,0.43692031,832,0.27758316,,,4068,0.32626846,396,0.11303402,694,0.1813284,1277,0.17721122,961,0.21480861,15,0.06591378,20,0.30907124,619,0.32011005,,,6,0.0178598,2082,0.23316941,6288,0.34946846,76,0.0773466,142,0.11064188,69,0.28052201,356,0.23256422,11749,0.32237733,46,0.05865851,9261,0.4282276
Investigation,"Law, Regulation, and Compliance",Criminal Investigation and Forensics,398,0.43582528,671,0.22386815,,,3371,0.27036651,1672,0.47725476,1068,0.27904716,1367,0.18970066,532,0.1189159,74,0.32517467,19,0.29361768,519,0.26839598,,,28,0.08334574,2840,0.3180601,6666,0.37047658,255,0.25951821,348,0.27115052,64,0.26019433,267,0.17442316,7625,0.20922012,172,0.2193318,7907,0.36561879
Collaboration,Media and Communications,Communication,386,0.42268482,796,0.26557235,,,3979,0.31913034,559,0.15956065,1226,0.32032942,1078,0.14959569,1126,0.25169042,48,0.21092411,10,0.15453562,724,0.37440981,,,60,0.17859801,2713,0.30383699,5680,0.31567762,211,0.2147386,300,0.23375045,51,0.20734236,510,0.33316784,9460,0.25957014,179,0.2282581,12298,0.56865814
Prioritization,Business,Project Management,382,0.41830466,1408,0.46975611,,,6079,0.48755801,1351,0.38562869,2282,0.59624122,2371,0.32902725,1901,0.42492316,84,0.36911719,20,0.30907124,834,0.43129528,,,170,0.50602768,3731,0.41784586,8422,0.46806988,473,0.48138084,651,0.50723847,127,0.51632313,621,0.40568084,15808,0.43375103,352,0.44886509,14023,0.64842195
Advocacy,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",374,0.40954435,921,0.30727655,,,3723,0.2985982,3298,0.9413793,4540,1.18621173,820,0.11379264,1565,0.34981839,396,1.74012392,55,0.84994591,838,0.43336384,,,475,1.41390088,1935,0.21670644,5149,0.28616621,1795,1.82680467,1898,1.47886117,137,0.55697849,736,0.48080692,7584,0.20809513,1338,1.7061974,12682,0.58641426
Cooperation,Physical and Inherent Abilities,Social Skills,361,0.39530886,1344,0.44840356,,,3525,0.28271788,2151,0.61398025,2535,0.66234509,1983,0.27518391,1093,0.24431405,258,1.1337171,34,0.52542111,751,0.38837261,,,337,1.00312547,2218,0.24840046,4878,0.27110483,801,0.8151925,915,0.71293887,90,0.36589828,787,0.5141237,5880,0.16133958,753,0.96021423,2105,0.09733496
